"","X","gene_name","GeneOntologyIDs","Term","Annotated","Significant","Expected","Fisher","ontology","pi_chrom","pi_start","pi_end","gf_chrom","gf_type","gf_start","gf_end","gf_attr","overlap","prop.sig.genes","Species"
"90",164,"LOC114962739","GO:0046872","metal ion binding",5724,24,9.56,0.00021,"Molecular Functions","NC_058069.1",26266482,26272980,"NC_058069.1","mRNA",26264526,26265929,"ID=rna-XM_029341779.2;Parent=gene-LOC114962739;Dbxref=GeneID:114962739,Genbank:XM_029341779.2;Name=XM_029341779.2;gbkey=mRNA;gene=LOC114962739;model_evidence=Supporting evidence includes similarity to: 5 mRNAs%2C and 52%25 coverage of the annotated genomic feature by RNAseq alignments;product=uncharacterized LOC114962739;transcript_id=XM_029341779.2",-553,0.00419287211740042,"Acropora pulchra"
"91",165,"LOC114965810","GO:0003676","nucleic acid binding",3852,21,6.43,1.9e-08,"Molecular Functions","NW_025322899.1",60237,66025,"NW_025322899.1","mRNA",48932,49696,"ID=rna-XM_029345528.2;Parent=gene-LOC114965810;Dbxref=GeneID:114965810,Genbank:XM_029345528.2;Name=XM_029345528.2;gbkey=mRNA;gene=LOC114965810;model_evidence=Supporting evidence includes similarity to: 1 Protein;product=uncharacterized protein K02A2.6-like;transcript_id=XM_029345528.2",-10541,0.00545171339563863,"Acropora pulchra"
"92",166,"LOC114965810","GO:0008270","zinc ion binding",1449,11,2.42,6e-06,"Molecular Functions","NW_025322899.1",60237,66025,"NW_025322899.1","mRNA",48932,49696,"ID=rna-XM_029345528.2;Parent=gene-LOC114965810;Dbxref=GeneID:114965810,Genbank:XM_029345528.2;Name=XM_029345528.2;gbkey=mRNA;gene=LOC114965810;model_evidence=Supporting evidence includes similarity to: 1 Protein;product=uncharacterized protein K02A2.6-like;transcript_id=XM_029345528.2",-10541,0.00759144237405107,"Acropora pulchra"
"93",168,"LOC114967414","GO:0046872","metal ion binding",5724,24,9.56,0.00021,"Molecular Functions","NC_058066.1",17726050,17734960,"NC_058066.1","mRNA",17729627,17732829,"ID=rna-XM_029347425.2;Parent=gene-LOC114967414;Dbxref=GeneID:114967414,Genbank:XM_029347425.2;Name=XM_029347425.2;gbkey=mRNA;gene=LOC114967414;model_evidence=Supporting evidence includes similarity to: 8 mRNAs%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments;product=zinc finger protein 862-like;transcript_id=XM_029347425.2",3202,0.00419287211740042,"Acropora pulchra"
"94",169,"LOC114969156","GO:0003676","nucleic acid binding",3852,21,6.43,1.9e-08,"Molecular Functions","NW_025322622.1",1086066,1100717,"NW_025322622.1","mRNA",1098946,1104938,"ID=rna-XM_029349462.2;Parent=gene-LOC114969156;Dbxref=GeneID:114969156,Genbank:XM_029349462.2;Name=XM_029349462.2;gbkey=mRNA;gene=LOC114969156;model_evidence=Supporting evidence includes similarity to: 11 mRNAs%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments;product=uncharacterized LOC114969156;transcript_id=XM_029349462.2",1771,0.00545171339563863,"Acropora pulchra"
"95",170,"LOC114973961","GO:0003676","nucleic acid binding",3852,21,6.43,1.9e-08,"Molecular Functions","NC_058067.1",30797040,30806014,"NC_058067.1","mRNA",30815166,30819212,"ID=rna-XM_029354316.2;Parent=gene-LOC114973961;Dbxref=GeneID:114973961,Genbank:XM_029354316.2;Name=XM_029354316.2;gbkey=mRNA;gene=LOC114973961;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 12 samples with support for all annotated introns;product=uncharacterized LOC114973961;transcript_id=XM_029354316.2",-9152,0.00545171339563863,"Acropora pulchra"
"96",175,"LOC122947278","GO:0008270","zinc ion binding",1449,11,2.42,6e-06,"Molecular Functions","NC_058079.1",10942018,10952991,"NC_058079.1","mRNA",10946598,10953476,"ID=rna-XM_044307929.1;Parent=gene-LOC122947278;Dbxref=GeneID:122947278,Genbank:XM_044307929.1;Name=XM_044307929.1;gbkey=mRNA;gene=LOC122947278;model_evidence=Supporting evidence includes similarity to: 2 mRNAs%2C and 61%25 coverage of the annotated genomic feature by RNAseq alignments;product=TNF receptor-associated factor 5-like;transcript_id=XM_044307929.1",6393,0.00759144237405107,"Acropora pulchra"
"97",177,"LOC114962268","GO:0005524","ATP binding",2181,9,3.64,0.00425,"Molecular Functions","NC_058079.1",11855494,11867962,"NC_058079.1","mRNA",11826188,11839399,"ID=rna-XM_044308351.1;Parent=gene-LOC114962268;Dbxref=GeneID:114962268,Genbank:XM_044308351.1;Name=XM_044308351.1;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC114962268;model_evidence=Supporting evidence includes similarity to: 5 mRNAs%2C 1 EST%2C 12 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 93 samples with support for all annotated introns;product=muscle%2C skeletal receptor tyrosine protein kinase-like;transcript_id=XM_044308351.1",-16095,0.00412654745529574,"Acropora pulchra"
"98",178,"LOC114962268","GO:0046872","metal ion binding",5724,24,9.56,0.00021,"Molecular Functions","NC_058079.1",11855494,11867962,"NC_058079.1","mRNA",11826188,11839399,"ID=rna-XM_044308351.1;Parent=gene-LOC114962268;Dbxref=GeneID:114962268,Genbank:XM_044308351.1;Name=XM_044308351.1;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC114962268;model_evidence=Supporting evidence includes similarity to: 5 mRNAs%2C 1 EST%2C 12 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 93 samples with support for all annotated introns;product=muscle%2C skeletal receptor tyrosine protein kinase-like;transcript_id=XM_044308351.1",-16095,0.00419287211740042,"Acropora pulchra"
"99",180,"LOC114948732","GO:0046872","metal ion binding",5724,24,9.56,0.00021,"Molecular Functions","NW_025322619.1",1337052,1343870,"NW_025322619.1","mRNA",1339851,1341951,"ID=rna-XM_044309350.1;Parent=gene-LOC114948732;Dbxref=GeneID:114948732,Genbank:XM_044309350.1;Name=XM_044309350.1;gbkey=mRNA;gene=LOC114948732;model_evidence=Supporting evidence includes similarity to: 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 29 samples with support for all annotated introns;product=putative nuclease HARBI1;transcript_id=XM_044309350.1",2100,0.00419287211740042,"Acropora pulchra"
"100",181,"LOC114968804","GO:0003676","nucleic acid binding",3852,21,6.43,1.9e-08,"Molecular Functions","NW_025322619.1",1085999,1094025,"NW_025322619.1","mRNA",1088815,1092182,"ID=rna-XM_044309359.1;Parent=gene-LOC114968804;Dbxref=GeneID:114968804,Genbank:XM_044309359.1;Name=XM_044309359.1;gbkey=mRNA;gene=LOC114968804;model_evidence=Supporting evidence includes similarity to: 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 27 samples with support for all annotated introns;product=probable ATP-dependent DNA helicase RecS%2C transcript variant X2;transcript_id=XM_044309359.1",3367,0.00545171339563863,"Acropora pulchra"
"101",182,"LOC114968804","GO:0005524","ATP binding",2181,9,3.64,0.00425,"Molecular Functions","NW_025322619.1",1085999,1094025,"NW_025322619.1","mRNA",1088815,1092182,"ID=rna-XM_044309359.1;Parent=gene-LOC114968804;Dbxref=GeneID:114968804,Genbank:XM_044309359.1;Name=XM_044309359.1;gbkey=mRNA;gene=LOC114968804;model_evidence=Supporting evidence includes similarity to: 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 27 samples with support for all annotated introns;product=probable ATP-dependent DNA helicase RecS%2C transcript variant X2;transcript_id=XM_044309359.1",3367,0.00412654745529574,"Acropora pulchra"
"102",186,"LOC114949344","GO:0046872","metal ion binding",5724,24,9.56,0.00021,"Molecular Functions","NW_025322620.1",583005,590782,"NW_025322620.1","mRNA",617591,639125,"ID=rna-XM_029325743.2;Parent=gene-LOC114949344;Dbxref=GeneID:114949344,Genbank:XM_029325743.2;Name=XM_029325743.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC114949344;model_evidence=Supporting evidence includes similarity to: 4 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 8 samples with support for all annotated introns;product=ficolin-2-like%2C transcript variant X3;transcript_id=XM_029325743.2",-26809,0.00419287211740042,"Acropora pulchra"
"103",187,"LOC114949344","GO:0046872","metal ion binding",5724,24,9.56,0.00021,"Molecular Functions","NW_025322620.1",595430,606981,"NW_025322620.1","mRNA",617591,639125,"ID=rna-XM_029325743.2;Parent=gene-LOC114949344;Dbxref=GeneID:114949344,Genbank:XM_029325743.2;Name=XM_029325743.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC114949344;model_evidence=Supporting evidence includes similarity to: 4 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 8 samples with support for all annotated introns;product=ficolin-2-like%2C transcript variant X3;transcript_id=XM_029325743.2",-10610,0.00419287211740042,"Acropora pulchra"
"104",188,"LOC114949344","GO:0046872","metal ion binding",5724,24,9.56,0.00021,"Molecular Functions","NW_025322620.1",583005,590782,"NW_025322620.1","mRNA",617591,639125,"ID=rna-XM_029325743.2;Parent=gene-LOC114949344;Dbxref=GeneID:114949344,Genbank:XM_029325743.2;Name=XM_029325743.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC114949344;model_evidence=Supporting evidence includes similarity to: 4 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 8 samples with support for all annotated introns;product=ficolin-2-like%2C transcript variant X3;transcript_id=XM_029325743.2",-26809,0.00419287211740042,"Acropora pulchra"
"105",189,"LOC114949344","GO:0046872","metal ion binding",5724,24,9.56,0.00021,"Molecular Functions","NW_025322620.1",595430,606981,"NW_025322620.1","mRNA",617591,639125,"ID=rna-XM_029325743.2;Parent=gene-LOC114949344;Dbxref=GeneID:114949344,Genbank:XM_029325743.2;Name=XM_029325743.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC114949344;model_evidence=Supporting evidence includes similarity to: 4 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 8 samples with support for all annotated introns;product=ficolin-2-like%2C transcript variant X3;transcript_id=XM_029325743.2",-10610,0.00419287211740042,"Acropora pulchra"
"106",190,"LOC122949366","GO:0005524","ATP binding",2181,9,3.64,0.00425,"Molecular Functions","NW_025322620.1",506111,516301,"NW_025322620.1","mRNA",509344,510594,"ID=rna-XM_044309480.1;Parent=gene-LOC122949366;Dbxref=GeneID:122949366,Genbank:XM_044309480.1;Name=XM_044309480.1;gbkey=mRNA;gene=LOC122949366;model_evidence=Supporting evidence includes similarity to: 2 mRNAs%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 53 samples with support for all annotated introns;product=ATP-dependent DNA helicase RecQ-like;transcript_id=XM_044309480.1",1250,0.00412654745529574,"Acropora pulchra"
"107",195,"LOC122949366","GO:0046872","metal ion binding",5724,24,9.56,0.00021,"Molecular Functions","NW_025322620.1",506111,516301,"NW_025322620.1","mRNA",509344,510594,"ID=rna-XM_044309480.1;Parent=gene-LOC122949366;Dbxref=GeneID:122949366,Genbank:XM_044309480.1;Name=XM_044309480.1;gbkey=mRNA;gene=LOC122949366;model_evidence=Supporting evidence includes similarity to: 2 mRNAs%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 53 samples with support for all annotated introns;product=ATP-dependent DNA helicase RecQ-like;transcript_id=XM_044309480.1",1250,0.00419287211740042,"Acropora pulchra"
"108",196,"LOC114967789","GO:0005524","ATP binding",2181,9,3.64,0.00425,"Molecular Functions","NW_025322620.1",178376,184506,"NW_025322620.1","mRNA",180442,182029,"ID=rna-XM_044309487.1;Parent=gene-LOC114967789;Dbxref=GeneID:114967789,Genbank:XM_044309487.1;Name=XM_044309487.1;Note=The sequence of the model RefSeq transcript was modified relative to this genomic sequence to represent the inferred CDS: inserted 2 bases in 1 codon;exception=unclassified transcription discrepancy;gbkey=mRNA;gene=LOC114967789;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 84%25 coverage of the annotated genomic feature by RNAseq alignments;product=ATP-dependent DNA helicase Q1-like;transcript_id=XM_044309487.1",1587,0.00412654745529574,"Acropora pulchra"
"109",202,"LOC114967789","GO:0046872","metal ion binding",5724,24,9.56,0.00021,"Molecular Functions","NW_025322620.1",178376,184506,"NW_025322620.1","mRNA",180442,182029,"ID=rna-XM_044309487.1;Parent=gene-LOC114967789;Dbxref=GeneID:114967789,Genbank:XM_044309487.1;Name=XM_044309487.1;Note=The sequence of the model RefSeq transcript was modified relative to this genomic sequence to represent the inferred CDS: inserted 2 bases in 1 codon;exception=unclassified transcription discrepancy;gbkey=mRNA;gene=LOC114967789;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 84%25 coverage of the annotated genomic feature by RNAseq alignments;product=ATP-dependent DNA helicase Q1-like;transcript_id=XM_044309487.1",1587,0.00419287211740042,"Acropora pulchra"
"110",204,"LOC122950733","GO:0008270","zinc ion binding",1449,11,2.42,6e-06,"Molecular Functions","NW_025322643.1",73,4997,"NW_025322643.1","mRNA",88979,91474,"ID=rna-XM_044310721.1;Parent=gene-LOC122950733;Dbxref=GeneID:122950733,Genbank:XM_044310721.1;Name=XM_044310721.1;gbkey=mRNA;gene=LOC122950733;model_evidence=Supporting evidence includes similarity to: 1 mRNA%2C and 21%25 coverage of the annotated genomic feature by RNAseq alignments;product=zinc finger MYM-type protein 1-like;transcript_id=XM_044310721.1",-83982,0.00759144237405107,"Acropora pulchra"
"111",205,"LOC122950925","GO:0004519","endonuclease activity",553,4,0.92,0.00949,"Molecular Functions","NW_025322648.1",715048,722637,"NW_025322648.1","mRNA",717219,721680,"ID=rna-XM_044310944.1;Parent=gene-LOC122950925;Dbxref=GeneID:122950925,Genbank:XM_044310944.1;Name=XM_044310944.1;gbkey=mRNA;gene=LOC122950925;model_evidence=Supporting evidence includes similarity to: 5 mRNAs%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments;product=uncharacterized protein K02A2.6-like;transcript_id=XM_044310944.1",4461,0.00723327305605787,"Acropora pulchra"
"112",206,"LOC122950925","GO:0046872","metal ion binding",5724,24,9.56,0.00021,"Molecular Functions","NW_025322648.1",715048,722637,"NW_025322648.1","mRNA",717219,721680,"ID=rna-XM_044310944.1;Parent=gene-LOC122950925;Dbxref=GeneID:122950925,Genbank:XM_044310944.1;Name=XM_044310944.1;gbkey=mRNA;gene=LOC122950925;model_evidence=Supporting evidence includes similarity to: 5 mRNAs%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments;product=uncharacterized protein K02A2.6-like;transcript_id=XM_044310944.1",4461,0.00419287211740042,"Acropora pulchra"
"113",207,"LOC122952191","GO:0003676","nucleic acid binding",3852,21,6.43,1.9e-08,"Molecular Functions","NW_025322706.1",12013,20025,"NW_025322706.1","mRNA",13473,15146,"ID=rna-XM_044312236.1;Parent=gene-LOC122952191;Dbxref=GeneID:122952191,Genbank:XM_044312236.1;Name=XM_044312236.1;gbkey=mRNA;gene=LOC122952191;model_evidence=Supporting evidence includes similarity to: 5 Proteins;product=uncharacterized protein K02A2.6-like;transcript_id=XM_044312236.1",1673,0.00545171339563863,"Acropora pulchra"
"114",208,"LOC122952191","GO:0008270","zinc ion binding",1449,11,2.42,6e-06,"Molecular Functions","NW_025322706.1",12013,20025,"NW_025322706.1","mRNA",13473,15146,"ID=rna-XM_044312236.1;Parent=gene-LOC122952191;Dbxref=GeneID:122952191,Genbank:XM_044312236.1;Name=XM_044312236.1;gbkey=mRNA;gene=LOC122952191;model_evidence=Supporting evidence includes similarity to: 5 Proteins;product=uncharacterized protein K02A2.6-like;transcript_id=XM_044312236.1",1673,0.00759144237405107,"Acropora pulchra"
"115",210,"LOC122956629","GO:0003676","nucleic acid binding",3852,21,6.43,1.9e-08,"Molecular Functions","NC_058067.1",14155111,14163931,"NC_058067.1","mRNA",14157497,14159293,"ID=rna-XM_044316312.1;Parent=gene-LOC122956629;Dbxref=GeneID:122956629,Genbank:XM_044316312.1;Name=XM_044316312.1;gbkey=mRNA;gene=LOC122956629;model_evidence=Supporting evidence includes similarity to: 4 Proteins;product=uncharacterized protein K02A2.6-like;transcript_id=XM_044316312.1",1796,0.00545171339563863,"Acropora pulchra"
"116",211,"LOC122956629","GO:0008270","zinc ion binding",1449,11,2.42,6e-06,"Molecular Functions","NC_058067.1",14155111,14163931,"NC_058067.1","mRNA",14157497,14159293,"ID=rna-XM_044316312.1;Parent=gene-LOC122956629;Dbxref=GeneID:122956629,Genbank:XM_044316312.1;Name=XM_044316312.1;gbkey=mRNA;gene=LOC122956629;model_evidence=Supporting evidence includes similarity to: 4 Proteins;product=uncharacterized protein K02A2.6-like;transcript_id=XM_044316312.1",1796,0.00759144237405107,"Acropora pulchra"
"117",213,"LOC122957249","GO:0005524","ATP binding",2181,9,3.64,0.00425,"Molecular Functions","NC_058067.1",30936178,30944991,"NC_058067.1","mRNA",30942775,30943688,"ID=rna-XM_044317251.1;Parent=gene-LOC122957249;Dbxref=GeneID:122957249,Genbank:XM_044317251.1;Name=XM_044317251.1;gbkey=mRNA;gene=LOC122957249;model_evidence=Supporting evidence includes similarity to: 1 mRNA%2C 1 Protein%2C and 66%25 coverage of the annotated genomic feature by RNAseq alignments;product=uncharacterized LOC122957249;transcript_id=XM_044317251.1",913,0.00412654745529574,"Acropora pulchra"
"118",218,"LOC122959385","GO:0008270","zinc ion binding",1449,11,2.42,6e-06,"Molecular Functions","NC_058070.1",16239005,16248013,"NC_058070.1","mRNA",16243679,16244486,"ID=rna-XM_044320708.1;Parent=gene-LOC122959385;Dbxref=GeneID:122959385,Genbank:XM_044320708.1;Name=XM_044320708.1;gbkey=mRNA;gene=LOC122959385;model_evidence=Supporting evidence includes similarity to: 1 mRNA%2C and 99%25 coverage of the annotated genomic feature by RNAseq alignments;product=THAP domain-containing protein 11-like;transcript_id=XM_044320708.1",807,0.00759144237405107,"Acropora pulchra"
"119",220,"LOC122960430","GO:0046872","metal ion binding",5724,24,9.56,0.00021,"Molecular Functions","NC_058071.1",7355630,7361347,"NC_058071.1","mRNA",7354716,7356162,"ID=rna-XM_044322631.1;Parent=gene-LOC122960430;Dbxref=GeneID:122960430,Genbank:XM_044322631.1;Name=XM_044322631.1;gbkey=mRNA;gene=LOC122960430;model_evidence=Supporting evidence includes similarity to: 1 mRNA%2C and 98%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 1 sample with support for all annotated introns;product=uncharacterized LOC122960430;transcript_id=XM_044322631.1",532,0.00419287211740042,"Acropora pulchra"
"120",221,"LOC122960659","GO:0046872","metal ion binding",5724,24,9.56,0.00021,"Molecular Functions","NC_058072.1",16792114,16799962,"NC_058072.1","mRNA",16801758,16805105,"ID=rna-XM_044323091.1;Parent=gene-LOC122960659;Dbxref=GeneID:122960659,Genbank:XM_044323091.1;Name=XM_044323091.1;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC122960659;model_evidence=Supporting evidence includes similarity to: 3 mRNAs%2C 1 EST%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 81 samples with support for all annotated introns;product=zinc finger protein 862-like;transcript_id=XM_044323091.1",-1796,0.00419287211740042,"Acropora pulchra"
"121",222,"LOC122961168","GO:0008270","zinc ion binding",1449,11,2.42,6e-06,"Molecular Functions","NC_058072.1",16554113,16560801,"NC_058072.1","mRNA",16558110,16559576,"ID=rna-XM_044323754.1;Parent=gene-LOC122961168;Dbxref=GeneID:122961168,Genbank:XM_044323754.1;Name=XM_044323754.1;gbkey=mRNA;gene=LOC122961168;model_evidence=Supporting evidence includes similarity to: 2 Proteins;product=uncharacterized LOC122961168;transcript_id=XM_044323754.1",1466,0.00759144237405107,"Acropora pulchra"
"122",223,"LOC122961172","GO:0005524","ATP binding",2181,9,3.64,0.00425,"Molecular Functions","NC_058072.1",16650053,16658972,"NC_058072.1","mRNA",16649053,16654072,"ID=rna-XM_044323762.1;Parent=gene-LOC122961172;Dbxref=GeneID:122961172,Genbank:XM_044323762.1;Name=XM_044323762.1;gbkey=mRNA;gene=LOC122961172;model_evidence=Supporting evidence includes similarity to: 4 mRNAs%2C and 91%25 coverage of the annotated genomic feature by RNAseq alignments;product=uncharacterized LOC122961172;transcript_id=XM_044323762.1",4019,0.00412654745529574,"Acropora pulchra"
"123",231,"LOC122961747","GO:0046872","metal ion binding",5724,24,9.56,0.00021,"Molecular Functions","NC_058073.1",27001,35922,"NC_058073.1","mRNA",33816,34685,"ID=rna-XM_044324554.1;Parent=gene-LOC122961747;Dbxref=GeneID:122961747,Genbank:XM_044324554.1;Name=XM_044324554.1;gbkey=mRNA;gene=LOC122961747;model_evidence=Supporting evidence includes similarity to: 3 Proteins;product=uncharacterized LOC122961747;transcript_id=XM_044324554.1",869,0.00419287211740042,"Acropora pulchra"
"124",232,"LOC122962131","GO:0003676","nucleic acid binding",3852,21,6.43,1.9e-08,"Molecular Functions","NC_058074.1",17050017,17057006,"NC_058074.1","mRNA",17052282,17053208,"ID=rna-XM_044325046.1;Parent=gene-LOC122962131;Dbxref=GeneID:122962131,Genbank:XM_044325046.1;Name=XM_044325046.1;gbkey=mRNA;gene=LOC122962131;model_evidence=Supporting evidence includes similarity to: 2 Proteins;product=uncharacterized protein K02A2.6-like;transcript_id=XM_044325046.1",926,0.00545171339563863,"Acropora pulchra"
"125",233,"LOC122962131","GO:0008270","zinc ion binding",1449,11,2.42,6e-06,"Molecular Functions","NC_058074.1",17050017,17057006,"NC_058074.1","mRNA",17052282,17053208,"ID=rna-XM_044325046.1;Parent=gene-LOC122962131;Dbxref=GeneID:122962131,Genbank:XM_044325046.1;Name=XM_044325046.1;gbkey=mRNA;gene=LOC122962131;model_evidence=Supporting evidence includes similarity to: 2 Proteins;product=uncharacterized protein K02A2.6-like;transcript_id=XM_044325046.1",926,0.00759144237405107,"Acropora pulchra"
"126",235,"LOC114950214","GO:0003676","nucleic acid binding",3852,21,6.43,1.9e-08,"Molecular Functions","NC_058074.1",17050017,17057006,"NC_058074.1","mRNA",17053224,17055316,"ID=rna-XM_044325047.1;Parent=gene-LOC114950214;Dbxref=GeneID:114950214,Genbank:XM_044325047.1;Name=XM_044325047.1;gbkey=mRNA;gene=LOC114950214;model_evidence=Supporting evidence includes similarity to: 1 mRNA%2C and 79%25 coverage of the annotated genomic feature by RNAseq alignments;product=uncharacterized protein K02A2.6-like;transcript_id=XM_044325047.1",2092,0.00545171339563863,"Acropora pulchra"
"127",236,"LOC114950214","GO:0008270","zinc ion binding",1449,11,2.42,6e-06,"Molecular Functions","NC_058074.1",17050017,17057006,"NC_058074.1","mRNA",17053224,17055316,"ID=rna-XM_044325047.1;Parent=gene-LOC114950214;Dbxref=GeneID:114950214,Genbank:XM_044325047.1;Name=XM_044325047.1;gbkey=mRNA;gene=LOC114950214;model_evidence=Supporting evidence includes similarity to: 1 mRNA%2C and 79%25 coverage of the annotated genomic feature by RNAseq alignments;product=uncharacterized protein K02A2.6-like;transcript_id=XM_044325047.1",2092,0.00759144237405107,"Acropora pulchra"
"128",238,"LOC122963280","GO:0004519","endonuclease activity",553,4,0.92,0.00949,"Molecular Functions","NC_058075.1",12980181,12985154,"NC_058075.1","mRNA",12981953,12983830,"ID=rna-XM_044326695.1;Parent=gene-LOC122963280;Dbxref=GeneID:122963280,Genbank:XM_044326695.1;Name=XM_044326695.1;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC122963280;model_evidence=Supporting evidence includes similarity to: 12 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 80 samples with support for all annotated introns;product=uncharacterized LOC122963280;transcript_id=XM_044326695.1",1877,0.00723327305605787,"Acropora pulchra"
"129",240,"LOC122964458","GO:0003676","nucleic acid binding",3852,21,6.43,1.9e-08,"Molecular Functions","NC_058066.1",28121256,28125982,"NC_058066.1","mRNA",28126954,28127481,"ID=rna-XM_044328014.1;Parent=gene-LOC122964458;Dbxref=GeneID:122964458,Genbank:XM_044328014.1;Name=XM_044328014.1;gbkey=mRNA;gene=LOC122964458;model_evidence=Supporting evidence includes similarity to: 100%25 coverage of the annotated genomic feature by RNAseq alignments;product=uncharacterized protein K02A2.6-like;transcript_id=XM_044328014.1",-972,0.00545171339563863,"Acropora pulchra"
"130",241,"LOC122964458","GO:0008270","zinc ion binding",1449,11,2.42,6e-06,"Molecular Functions","NC_058066.1",28121256,28125982,"NC_058066.1","mRNA",28126954,28127481,"ID=rna-XM_044328014.1;Parent=gene-LOC122964458;Dbxref=GeneID:122964458,Genbank:XM_044328014.1;Name=XM_044328014.1;gbkey=mRNA;gene=LOC122964458;model_evidence=Supporting evidence includes similarity to: 100%25 coverage of the annotated genomic feature by RNAseq alignments;product=uncharacterized protein K02A2.6-like;transcript_id=XM_044328014.1",-972,0.00759144237405107,"Acropora pulchra"
"131",5,"Pocillopora_meandrina_HIv1___RNAseq.g19581.t1","GO:0015074","DNA integration",541,15,1.01,6.4e-15,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000001",10531132,10536982,"Pocillopora_meandrina_HIv1___Sc0000001","transcript",10535065,10536702,"ID=Pocillopora_meandrina_HIv1___RNAseq.g19581.t1",1637,0.0277264325323475,"Pocillopora tuahiniensis"
"132",6,"Pocillopora_meandrina_HIv1___RNAseq.g25079.t1","GO:0015074","DNA integration",541,15,1.01,6.4e-15,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000004",13615030,13624862,"Pocillopora_meandrina_HIv1___Sc0000004","transcript",13615770,13616777,"ID=Pocillopora_meandrina_HIv1___RNAseq.g25079.t1",1007,0.0277264325323475,"Pocillopora tuahiniensis"
"133",7,"Pocillopora_meandrina_HIv1___RNAseq.g16075.t1","GO:0006310","DNA recombination",624,10,1.16,0.00534,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000003",11421003,11433320,"Pocillopora_meandrina_HIv1___Sc0000003","transcript",11422530,11426450,"ID=Pocillopora_meandrina_HIv1___RNAseq.g16075.t1",3920,0.016025641025641,"Pocillopora tuahiniensis"
"134",9,"Pocillopora_meandrina_HIv1___RNAseq.g16075.t1","GO:0015074","DNA integration",541,15,1.01,6.4e-15,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000003",11421003,11433320,"Pocillopora_meandrina_HIv1___Sc0000003","transcript",11422530,11426450,"ID=Pocillopora_meandrina_HIv1___RNAseq.g16075.t1",3920,0.0277264325323475,"Pocillopora tuahiniensis"
"135",12,"Pocillopora_meandrina_HIv1___TS.g18528.t1","GO:0015074","DNA integration",541,15,1.01,6.4e-15,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000043",1687373,1694015,"Pocillopora_meandrina_HIv1___Sc0000043","transcript",1688357,1694669,"ID=Pocillopora_meandrina_HIv1___TS.g18528.t1",5658,0.0277264325323475,"Pocillopora tuahiniensis"
"136",13,"Pocillopora_meandrina_HIv1___TS.g24875.t1a","GO:0015074","DNA integration",541,15,1.01,6.4e-15,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000007",13093921,13099854,"Pocillopora_meandrina_HIv1___Sc0000007","transcript",13095063,13097222,"ID=Pocillopora_meandrina_HIv1___TS.g24875.t1a",2159,0.0277264325323475,"Pocillopora tuahiniensis"
"137",14,"Pocillopora_meandrina_HIv1___RNAseq.g18203.t1","GO:0006355","regulation of DNA-templated transcription",1901,7,3.54,0.0258,"Biological Processes","Pocillopora_meandrina_HIv1___Sc0000019",3826011,3853992,"Pocillopora_meandrina_HIv1___Sc0000019","transcript",3848485,3852030,"ID=Pocillopora_meandrina_HIv1___RNAseq.g18203.t1",3545,0.00368227248816412,"Pocillopora tuahiniensis"
