Coords	Name	MIRNA	sRNA-POC-47-S1-TP2-fastp-adapters-polyG-31bp-merged	sRNA-POC-48-S1-TP2-fastp-adapters-polyG-31bp-merged	sRNA-POC-50-S1-TP2-fastp-adapters-polyG-31bp-merged	sRNA-POC-53-S1-TP2-fastp-adapters-polyG-31bp-merged	sRNA-POC-57-S1-TP2-fastp-adapters-polyG-31bp-merged
Pocillopora_meandrina_HIv1___Sc0000011:3479077-3479821	Cluster_3472	N	166	13	54	75	23
Pocillopora_meandrina_HIv1___Sc0000011:3482219-3482716	Cluster_3473	N	1	23	1565	22	100
Pocillopora_meandrina_HIv1___Sc0000011:3487323-3487892	Cluster_3474	N	184	11	60	73	21
Pocillopora_meandrina_HIv1___Sc0000011:3488573-3488991	Cluster_3475	N	53	7	28	21	10
Pocillopora_meandrina_HIv1___Sc0000011:3680927-3681472	Cluster_3476	N	171	0	139	146	3
Pocillopora_meandrina_HIv1___Sc0000011:3697531-3697935	Cluster_3477	N	10	19	14	10	152
Pocillopora_meandrina_HIv1___Sc0000011:3698610-3699028	Cluster_3478	N	5	35	16	23	135
Pocillopora_meandrina_HIv1___Sc0000011:3706024-3706443	Cluster_3479	N	4	58	6	17	161
Pocillopora_meandrina_HIv1___Sc0000011:3706667-3707243	Cluster_3480	N	9	44	19	10	273
Pocillopora_meandrina_HIv1___Sc0000011:3743749-3744171	Cluster_3481	N	3	9	14	116	46
Pocillopora_meandrina_HIv1___Sc0000011:3851657-3852086	Cluster_3482	N	0	1	2	486	4
Pocillopora_meandrina_HIv1___Sc0000011:3852351-3852895	Cluster_3483	N	96	96	81	52	54
Pocillopora_meandrina_HIv1___Sc0000011:3853490-3854462	Cluster_3484	N	180	162	244	307	51
Pocillopora_meandrina_HIv1___Sc0000011:3855303-3855819	Cluster_3485	N	0	2	2	326	4
Pocillopora_meandrina_HIv1___Sc0000011:4137651-4138080	Cluster_3486	N	325	1	41	148	53
Pocillopora_meandrina_HIv1___Sc0000011:4143432-4143861	Cluster_3487	N	34	0	194	88	12
Pocillopora_meandrina_HIv1___Sc0000011:4433355-4433774	Cluster_3488	N	51	30	67	116	82
Pocillopora_meandrina_HIv1___Sc0000011:4435430-4435847	Cluster_3489	N	22	18	43	44	69
Pocillopora_meandrina_HIv1___Sc0000011:4543638-4544060	Cluster_3490	N	2	13	3	7	80
Pocillopora_meandrina_HIv1___Sc0000011:4551808-4552227	Cluster_3491	N	4	15	6	21	112
Pocillopora_meandrina_HIv1___Sc0000011:4710882-4711311	Cluster_3492	N	20	12	34	26	83
Pocillopora_meandrina_HIv1___Sc0000011:4858057-4858484	Cluster_3493	N	0	0	69	0	4
Pocillopora_meandrina_HIv1___Sc0000011:4885882-4886715	Cluster_3494	N	478	44	2	197	23
Pocillopora_meandrina_HIv1___Sc0000011:4887264-4887693	Cluster_3495	N	54	103	77	5	4
Pocillopora_meandrina_HIv1___Sc0000011:4893403-4893830	Cluster_3496	N	55	28	25	37	4
Pocillopora_meandrina_HIv1___Sc0000011:4940748-4941167	Cluster_3497	N	4	36	12	40	20
Pocillopora_meandrina_HIv1___Sc0000011:5608018-5608439	Cluster_3498	N	15	44	23	36	62
Pocillopora_meandrina_HIv1___Sc0000011:5682043-5682449	Cluster_3499	N	8	17	8	26	38
Pocillopora_meandrina_HIv1___Sc0000011:5740299-5740769	Cluster_3500	N	353	636	248	365	667
Pocillopora_meandrina_HIv1___Sc0000011:5937066-5937593	Cluster_3501	N	6	139	6	90	40
Pocillopora_meandrina_HIv1___Sc0000011:5937633-5938061	Cluster_3502	N	67	8	13	29	25
Pocillopora_meandrina_HIv1___Sc0000011:6046750-6047559	Cluster_3503	N	27	100	13	480	29
Pocillopora_meandrina_HIv1___Sc0000011:6190043-6190464	Cluster_3504	N	31	47	14	24	12
Pocillopora_meandrina_HIv1___Sc0000011:6215869-6216344	Cluster_3505	N	341	400	358	432	248
Pocillopora_meandrina_HIv1___Sc0000011:6216755-6217183	Cluster_3506	N	21	64	32	60	64
Pocillopora_meandrina_HIv1___Sc0000011:6217611-6218693	Cluster_3507	N	885	989	860	1236	1759
Pocillopora_meandrina_HIv1___Sc0000011:6218840-6219312	Cluster_3508	N	1090	5036	2028	4151	4213
Pocillopora_meandrina_HIv1___Sc0000011:6219545-6220346	Cluster_3509	N	310	1047	575	708	584
Pocillopora_meandrina_HIv1___Sc0000011:6220823-6221301	Cluster_3510	N	131	490	240	412	640
Pocillopora_meandrina_HIv1___Sc0000011:6222022-6222433	Cluster_3511	N	19	26	24	62	68
Pocillopora_meandrina_HIv1___Sc0000011:6224058-6224473	Cluster_3512	N	16	34	10	78	113
Pocillopora_meandrina_HIv1___Sc0000011:6224571-6224977	Cluster_3513	N	4	32	13	86	111
Pocillopora_meandrina_HIv1___Sc0000011:6225964-6226391	Cluster_3514	N	21	52	19	105	157
Pocillopora_meandrina_HIv1___Sc0000011:6274499-6274927	Cluster_3515	N	0	0	360	1	1
Pocillopora_meandrina_HIv1___Sc0000011:6322906-6323442	Cluster_3516	N	543	720	933	429	1
Pocillopora_meandrina_HIv1___Sc0000011:6464950-6465485	Cluster_3517	N	45	89	207	113	146
Pocillopora_meandrina_HIv1___Sc0000011:6473164-6473733	Cluster_3518	N	240	433	321	1494	1744
Pocillopora_meandrina_HIv1___Sc0000011:6476865-6477429	Cluster_3519	N	64	63	241	1044	1611
Pocillopora_meandrina_HIv1___Sc0000011:6480862-6481343	Cluster_3520	N	140	331	48	69	160
Pocillopora_meandrina_HIv1___Sc0000011:6483576-6484067	Cluster_3521	N	17	82	27	303	316
Pocillopora_meandrina_HIv1___Sc0000011:6485782-6486366	Cluster_3522	N	2481	538	777	606	483
Pocillopora_meandrina_HIv1___Sc0000011:6489550-6490253	Cluster_3523	N	2	455	123	568	424
Pocillopora_meandrina_HIv1___Sc0000011:6645201-6645717	Cluster_3524	N	8	0	219	0	3
Pocillopora_meandrina_HIv1___Sc0000011:6727215-6727635	Cluster_3525	N	0	15	88	13	0
Pocillopora_meandrina_HIv1___Sc0000011:7000730-7001147	Cluster_3526	N	50	15	34	32	19
Pocillopora_meandrina_HIv1___Sc0000011:7091774-7092256	Cluster_3527	N	362	0	1	18	1
Pocillopora_meandrina_HIv1___Sc0000011:7092809-7093233	Cluster_3528	N	233	224	192	4	54
Pocillopora_meandrina_HIv1___Sc0000011:7517305-7517727	Cluster_3529	N	10	26	17	23	5
Pocillopora_meandrina_HIv1___Sc0000011:7538617-7539082	Cluster_3530	N	49	89	61	109	91
Pocillopora_meandrina_HIv1___Sc0000011:7637705-7638451	Cluster_3531	N	100	264	52	257	498
Pocillopora_meandrina_HIv1___Sc0000011:7638531-7638937	Cluster_3532	N	8	52	19	23	65
Pocillopora_meandrina_HIv1___Sc0000011:7770864-7771293	Cluster_3533	N	0	1	370	0	3
Pocillopora_meandrina_HIv1___Sc0000011:8011145-8011573	Cluster_3534	N	86	13	2	34	2
Pocillopora_meandrina_HIv1___Sc0000011:8012096-8012544	Cluster_3535	N	145	74	132	96	34
Pocillopora_meandrina_HIv1___Sc0000011:8012714-8013502	Cluster_3536	N	215	100	417	86	73
Pocillopora_meandrina_HIv1___Sc0000011:8276048-8276475	Cluster_3537	N	8	2	4	139	3
Pocillopora_meandrina_HIv1___Sc0000011:8412931-8413349	Cluster_3538	N	0	433	1	0	9
Pocillopora_meandrina_HIv1___Sc0000011:8478554-8479134	Cluster_3539	N	743	67	206	13	2
Pocillopora_meandrina_HIv1___Sc0000011:8490498-8491053	Cluster_3540	N	534	64	69	61	48
Pocillopora_meandrina_HIv1___Sc0000011:8492338-8492763	Cluster_3541	N	22	4	35	28	49
Pocillopora_meandrina_HIv1___Sc0000011:8494971-8496105	Cluster_3542	N	1406	588	3225	1335	428
Pocillopora_meandrina_HIv1___Sc0000011:8499550-8500281	Cluster_3543	N	1704	3	388	0	2
Pocillopora_meandrina_HIv1___Sc0000011:8534433-8535505	Cluster_3544	N	238	128	167	166	190
Pocillopora_meandrina_HIv1___Sc0000011:8580119-8580548	Cluster_3545	N	95	39	16	75	7
Pocillopora_meandrina_HIv1___Sc0000011:8581778-8582479	Cluster_3546	N	101	57	46	46	17
Pocillopora_meandrina_HIv1___Sc0000011:8622522-8623855	Cluster_3547	N	95	29	904	864	372
Pocillopora_meandrina_HIv1___Sc0000011:8632776-8633199	Cluster_3548	N	5	136	2	2	0
Pocillopora_meandrina_HIv1___Sc0000011:8759529-8759949	Cluster_3549	N	20	11	20	35	12
Pocillopora_meandrina_HIv1___Sc0000011:8942245-8942671	Cluster_3550	N	151	105	166	275	60
Pocillopora_meandrina_HIv1___Sc0000011:8943032-8943461	Cluster_3551	N	141	32	0	1025	304
Pocillopora_meandrina_HIv1___Sc0000011:8989631-8990060	Cluster_3552	N	0	0	0	88	1
Pocillopora_meandrina_HIv1___Sc0000011:9386857-9387285	Cluster_3553	N	60	1	2711	0	0
Pocillopora_meandrina_HIv1___Sc0000011:9637992-9638413	Cluster_3554	N	26	29	22	31	42
Pocillopora_meandrina_HIv1___Sc0000011:9680438-9680861	Cluster_3555	N	12	1	2	164	0
Pocillopora_meandrina_HIv1___Sc0000011:9680873-9681301	Cluster_3556	N	15	2	1	189	0
Pocillopora_meandrina_HIv1___Sc0000011:9711845-9712793	Cluster_3557	N	1032	355	702	46	137
Pocillopora_meandrina_HIv1___Sc0000011:9712795-9713663	Cluster_3558	N	171	73	230	44	28
Pocillopora_meandrina_HIv1___Sc0000011:9713863-9715859	Cluster_3559	N	1064	394	1405	418	159
Pocillopora_meandrina_HIv1___Sc0000011:9739953-9741130	Cluster_3560	N	156	7	90	1099	38
Pocillopora_meandrina_HIv1___Sc0000011:9742190-9742888	Cluster_3561	N	191	1	85	393	8
Pocillopora_meandrina_HIv1___Sc0000011:9743274-9744734	Cluster_3562	N	788	9	195	1788	335
Pocillopora_meandrina_HIv1___Sc0000011:9747736-9748158	Cluster_3563	N	1	0	0	0	524
Pocillopora_meandrina_HIv1___Sc0000011:9787128-9788785	Cluster_3564	N	2215	96	925	4930	98
Pocillopora_meandrina_HIv1___Sc0000011:9789366-9791702	Cluster_3565	N	3671	49	1044	447	701
Pocillopora_meandrina_HIv1___Sc0000011:9794038-9794468	Cluster_3566	N	132	1	0	2	3
Pocillopora_meandrina_HIv1___Sc0000011:9794660-9795088	Cluster_3567	N	36	33	36	32	8
Pocillopora_meandrina_HIv1___Sc0000011:9806603-9807305	Cluster_3568	N	1	767	12	1959	3
Pocillopora_meandrina_HIv1___Sc0000011:9807646-9808063	Cluster_3569	N	0	36	93	29	6
Pocillopora_meandrina_HIv1___Sc0000011:9808077-9808633	Cluster_3570	N	0	0	190	0	67
Pocillopora_meandrina_HIv1___Sc0000011:9809548-9810654	Cluster_3571	N	13	0	409	1548	537
Pocillopora_meandrina_HIv1___Sc0000011:9825524-9826474	Cluster_3572	N	557	199	129	130	128
Pocillopora_meandrina_HIv1___Sc0000011:9826662-9827089	Cluster_3573	N	100	9	41	17	94
Pocillopora_meandrina_HIv1___Sc0000011:9828072-9828840	Cluster_3574	N	358	74	25	4	1
Pocillopora_meandrina_HIv1___Sc0000011:9836946-9837359	Cluster_3575	N	93	37	18	85	30
Pocillopora_meandrina_HIv1___Sc0000011:9845259-9845688	Cluster_3576	N	119	18	26	30	23
Pocillopora_meandrina_HIv1___Sc0000011:9847890-9848290	Cluster_3577	N	107	15	33	32	10
Pocillopora_meandrina_HIv1___Sc0000011:9848383-9848810	Cluster_3578	N	144	19	52	51	38
Pocillopora_meandrina_HIv1___Sc0000011:9849209-9849638	Cluster_3579	N	59	16	48	47	22
Pocillopora_meandrina_HIv1___Sc0000011:9861491-9862035	Cluster_3580	N	4	237	191	1180	0
Pocillopora_meandrina_HIv1___Sc0000011:9868640-9869059	Cluster_3581	N	63	73	13	14	19
Pocillopora_meandrina_HIv1___Sc0000011:9869468-9869877	Cluster_3582	N	35	84	3	63	13
Pocillopora_meandrina_HIv1___Sc0000011:9869941-9870476	Cluster_3583	N	129	128	14	256	26
Pocillopora_meandrina_HIv1___Sc0000011:9874015-9875090	Cluster_3584	N	97	54	231	131	61
Pocillopora_meandrina_HIv1___Sc0000011:9876546-9876963	Cluster_3585	N	209	3	76	46	7
Pocillopora_meandrina_HIv1___Sc0000011:9881499-9882549	Cluster_3586	N	447	49	95	181	88
Pocillopora_meandrina_HIv1___Sc0000011:9883183-9883608	Cluster_3587	N	69	16	33	42	15
Pocillopora_meandrina_HIv1___Sc0000011:10071736-10072156	Cluster_3588	N	6	19	8	41	81
Pocillopora_meandrina_HIv1___Sc0000011:10082662-10083084	Cluster_3589	N	3	21	15	32	3
Pocillopora_meandrina_HIv1___Sc0000011:10238979-10239401	Cluster_3590	N	55	25	33	36	20
Pocillopora_meandrina_HIv1___Sc0000011:10250224-10250643	Cluster_3591	N	796	0	794	0	191
Pocillopora_meandrina_HIv1___Sc0000011:10323826-10326081	Cluster_3592	N	1106	1212	11646	862	3935
Pocillopora_meandrina_HIv1___Sc0000011:10437910-10438799	Cluster_3593	N	21	120	12	164	237
Pocillopora_meandrina_HIv1___Sc0000011:10442828-10443451	Cluster_3594	N	67	353	327	64	304
Pocillopora_meandrina_HIv1___Sc0000012:125342-125768	Cluster_3595	N	39	68	42	35	9
Pocillopora_meandrina_HIv1___Sc0000012:126609-127033	Cluster_3596	N	14	7	10	77	14
Pocillopora_meandrina_HIv1___Sc0000012:127941-128369	Cluster_3597	N	26	74	0	0	17
Pocillopora_meandrina_HIv1___Sc0000012:241078-241499	Cluster_3598	N	14	48	15	52	38
Pocillopora_meandrina_HIv1___Sc0000012:429013-429511	Cluster_3599	N	188	138	244	95	66
Pocillopora_meandrina_HIv1___Sc0000012:694963-695392	Cluster_3600	N	386	12	17	92	4
Pocillopora_meandrina_HIv1___Sc0000012:697287-697703	Cluster_3601	N	13	10	21	54	0
Pocillopora_meandrina_HIv1___Sc0000012:879109-879524	Cluster_3602	N	7	17	12	24	67
Pocillopora_meandrina_HIv1___Sc0000012:934758-935175	Cluster_3603	N	106	4	0	2	2
Pocillopora_meandrina_HIv1___Sc0000012:1127289-1127875	Cluster_3604	N	106	168	95	159	121
Pocillopora_meandrina_HIv1___Sc0000012:1128453-1128965	Cluster_3605	N	43	26	99	2	16
Pocillopora_meandrina_HIv1___Sc0000012:1129185-1129616	Cluster_3606	N	66	63	135	2	34
Pocillopora_meandrina_HIv1___Sc0000012:1495883-1496342	Cluster_3607	N	51	80	62	150	217
Pocillopora_meandrina_HIv1___Sc0000012:1574026-1576202	Cluster_3608	N	571	109	543	258	233
Pocillopora_meandrina_HIv1___Sc0000012:1576712-1577156	Cluster_3609	N	645	4	48	249	18
Pocillopora_meandrina_HIv1___Sc0000012:1577210-1578249	Cluster_3610	N	442	32	267	233	201
Pocillopora_meandrina_HIv1___Sc0000012:1578389-1579996	Cluster_3611	N	838	120	487	464	155
Pocillopora_meandrina_HIv1___Sc0000012:1651624-1652042	Cluster_3612	N	67	1	6	1	0
Pocillopora_meandrina_HIv1___Sc0000012:1700342-1700766	Cluster_3613	N	39	66	49	59	0
Pocillopora_meandrina_HIv1___Sc0000012:1720627-1721056	Cluster_3614	N	1	0	0	87	0
Pocillopora_meandrina_HIv1___Sc0000012:1778902-1779430	Cluster_3615	N	158	374	391	76	12
Pocillopora_meandrina_HIv1___Sc0000012:1813691-1814109	Cluster_3616	N	44	30	82	41	30
Pocillopora_meandrina_HIv1___Sc0000012:2637212-2637903	Cluster_3617	N	64	119	60	241	413
Pocillopora_meandrina_HIv1___Sc0000012:2807434-2807851	Cluster_3618	N	4	10	9	37	51
Pocillopora_meandrina_HIv1___Sc0000012:2886188-2886621	Cluster_3619	N	178	172	407	338	271
Pocillopora_meandrina_HIv1___Sc0000012:2886971-2887446	Cluster_3620	N	352	328	453	416	475
Pocillopora_meandrina_HIv1___Sc0000012:2889479-2889955	Cluster_3621	N	433	253	464	565	610
Pocillopora_meandrina_HIv1___Sc0000012:2926923-2927342	Cluster_3622	N	46	36	11	40	32
Pocillopora_meandrina_HIv1___Sc0000012:3102775-3103192	Cluster_3623	N	20	34	16	44	83
Pocillopora_meandrina_HIv1___Sc0000012:3291569-3291996	Cluster_3624	N	0	0	101	88	0
Pocillopora_meandrina_HIv1___Sc0000012:3301242-3301666	Cluster_3625	N	13	1	1	164	0
Pocillopora_meandrina_HIv1___Sc0000012:3301677-3302105	Cluster_3626	N	14	2	1	194	1
Pocillopora_meandrina_HIv1___Sc0000012:3417269-3417875	Cluster_3627	N	370	113	140	118	4
Pocillopora_meandrina_HIv1___Sc0000012:3443230-3443876	Cluster_3628	N	351	16	16	258	124
Pocillopora_meandrina_HIv1___Sc0000012:3443902-3444331	Cluster_3629	N	521	36	118	3	19
Pocillopora_meandrina_HIv1___Sc0000012:3549634-3550061	Cluster_3630	N	11	11	98	5	21
Pocillopora_meandrina_HIv1___Sc0000012:3702103-3702532	Cluster_3631	N	1	0	0	100	1
Pocillopora_meandrina_HIv1___Sc0000012:3943388-3943815	Cluster_3632	N	0	0	98	0	1
Pocillopora_meandrina_HIv1___Sc0000012:4024154-4024580	Cluster_3633	N	0	38	0	34	5
Pocillopora_meandrina_HIv1___Sc0000012:4244144-4244572	Cluster_3634	N	7	0	91	3	8
Pocillopora_meandrina_HIv1___Sc0000012:4256145-4256553	Cluster_3635	N	12	0	3	108	1
Pocillopora_meandrina_HIv1___Sc0000012:4299145-4299601	Cluster_3636	N	695	734	20	840	251
Pocillopora_meandrina_HIv1___Sc0000012:4477901-4478318	Cluster_3637	N	18	337	17	167	213
Pocillopora_meandrina_HIv1___Sc0000012:4527319-4527726	Cluster_3638	N	1	46	0	51	19
Pocillopora_meandrina_HIv1___Sc0000012:4527933-4528396	Cluster_3639	N	41	54	77	70	52
Pocillopora_meandrina_HIv1___Sc0000012:4724333-4724835	Cluster_3640	N	181	94	24	97	15
Pocillopora_meandrina_HIv1___Sc0000012:4724871-4725616	Cluster_3641	N	271	124	59	145	67
Pocillopora_meandrina_HIv1___Sc0000012:4908638-4909067	Cluster_3642	N	227	6	24	9	31
Pocillopora_meandrina_HIv1___Sc0000012:4929534-4929951	Cluster_3643	N	2	43	49	0	0
Pocillopora_meandrina_HIv1___Sc0000012:5242362-5242790	Cluster_3644	N	33	34	18	36	0
Pocillopora_meandrina_HIv1___Sc0000012:5269393-5269872	Cluster_3645	N	130	52	49	160	94
Pocillopora_meandrina_HIv1___Sc0000012:5271161-5271578	Cluster_3646	N	6	0	38	0	32
Pocillopora_meandrina_HIv1___Sc0000012:5275572-5276707	Cluster_3647	N	1397	1677	2439	2292	4460
Pocillopora_meandrina_HIv1___Sc0000012:5279849-5281602	Cluster_3648	N	79399	85820	86120	221636	582819
Pocillopora_meandrina_HIv1___Sc0000012:5282066-5282632	Cluster_3649	N	532	5	746	0	1
Pocillopora_meandrina_HIv1___Sc0000012:5295733-5297102	Cluster_3650	N	374998	1191276	534050	1861246	2180214
Pocillopora_meandrina_HIv1___Sc0000012:5299291-5303731	Cluster_3651	N	130455	143696	160000	159344	199930
Pocillopora_meandrina_HIv1___Sc0000012:5461908-5462338	Cluster_3652	N	0	0	29	68	3
Pocillopora_meandrina_HIv1___Sc0000012:5463579-5464005	Cluster_3653	N	56	2	79	75	30
Pocillopora_meandrina_HIv1___Sc0000012:5507216-5507668	Cluster_3654	N	248	86	79	153	38
Pocillopora_meandrina_HIv1___Sc0000012:5578526-5578949	Cluster_3655	N	21	13	89	0	0
Pocillopora_meandrina_HIv1___Sc0000012:5579115-5579537	Cluster_3656	N	16	66	4	0	0
Pocillopora_meandrina_HIv1___Sc0000012:5605812-5606228	Cluster_3657	N	147	18	0	75	1
Pocillopora_meandrina_HIv1___Sc0000012:5739796-5740215	Cluster_3658	N	13	29	22	135	212
Pocillopora_meandrina_HIv1___Sc0000012:5868872-5869355	Cluster_3659	N	132	45	43	32	0
Pocillopora_meandrina_HIv1___Sc0000012:6081718-6082147	Cluster_3660	N	0	2	2	176	0
Pocillopora_meandrina_HIv1___Sc0000012:6088634-6089062	Cluster_3661	N	2	1	128	1	6
Pocillopora_meandrina_HIv1___Sc0000012:6098305-6100303	Cluster_3662	N	986	508	1147	977	501
Pocillopora_meandrina_HIv1___Sc0000012:6100310-6100737	Cluster_3663	N	124	44	63	93	9
Pocillopora_meandrina_HIv1___Sc0000012:6100855-6101281	Cluster_3664	N	45	18	54	81	8
Pocillopora_meandrina_HIv1___Sc0000012:6101297-6101781	Cluster_3665	N	81	21	70	263	17
Pocillopora_meandrina_HIv1___Sc0000012:6102014-6103188	Cluster_3666	N	192	74	493	416	38
Pocillopora_meandrina_HIv1___Sc0000012:6137887-6138307	Cluster_3667	N	34	9	112	2	11
Pocillopora_meandrina_HIv1___Sc0000012:6183151-6183691	Cluster_3668	N	111	209	231	3	16
Pocillopora_meandrina_HIv1___Sc0000012:6342093-6342496	Cluster_3669	N	4	23	5	21	53
Pocillopora_meandrina_HIv1___Sc0000012:6455183-6455276	Cluster_3670	Y	1035	566	242	316	258
Pocillopora_meandrina_HIv1___Sc0000012:6591857-6592296	Cluster_3671	N	722	447	755	339	108
Pocillopora_meandrina_HIv1___Sc0000012:6610946-6611372	Cluster_3672	N	0	1	188	0	0
Pocillopora_meandrina_HIv1___Sc0000012:6715855-6716285	Cluster_3673	N	98	34	94	71	22
Pocillopora_meandrina_HIv1___Sc0000012:6743354-6743999	Cluster_3674	N	687	857	886	939	159
Pocillopora_meandrina_HIv1___Sc0000012:6750710-6751474	Cluster_3675	N	1066	145	233	3	138
Pocillopora_meandrina_HIv1___Sc0000012:6939591-6940020	Cluster_3676	N	30	0	0	397	1
Pocillopora_meandrina_HIv1___Sc0000012:6963867-6964294	Cluster_3677	N	9	10	4	195	7
Pocillopora_meandrina_HIv1___Sc0000012:6972502-6972930	Cluster_3678	N	0	0	0	343	0
Pocillopora_meandrina_HIv1___Sc0000012:6988644-6989901	Cluster_3679	N	1525	769	1188	1054	602
Pocillopora_meandrina_HIv1___Sc0000012:7218635-7219064	Cluster_3680	N	82	9	4	43	5
Pocillopora_meandrina_HIv1___Sc0000012:7535780-7536207	Cluster_3681	N	54	11	39	25	8
Pocillopora_meandrina_HIv1___Sc0000012:7549463-7549893	Cluster_3682	N	106	1007	1315	0	218
Pocillopora_meandrina_HIv1___Sc0000012:7556170-7556577	Cluster_3683	N	21	4	12	47	18
Pocillopora_meandrina_HIv1___Sc0000012:7556645-7559193	Cluster_3684	N	1851	700	1591	1586	870
Pocillopora_meandrina_HIv1___Sc0000012:7787967-7788385	Cluster_3685	N	127	0	13	34	21
Pocillopora_meandrina_HIv1___Sc0000012:7917423-7917838	Cluster_3686	N	129	2	5	5	0
Pocillopora_meandrina_HIv1___Sc0000012:7919105-7919763	Cluster_3687	N	12	424	535	911	3
Pocillopora_meandrina_HIv1___Sc0000012:7920052-7920756	Cluster_3688	N	8	937	1254	1355	3
Pocillopora_meandrina_HIv1___Sc0000012:7921185-7921614	Cluster_3689	N	123	59	169	221	160
Pocillopora_meandrina_HIv1___Sc0000012:7922225-7922759	Cluster_3690	N	2161	66	1121	1205	549
Pocillopora_meandrina_HIv1___Sc0000012:8079060-8079487	Cluster_3691	N	0	1	0	239	0
Pocillopora_meandrina_HIv1___Sc0000012:8302325-8302754	Cluster_3692	N	0	1	1	93	0
Pocillopora_meandrina_HIv1___Sc0000012:8477056-8477461	Cluster_3693	N	1	1	0	30	113
Pocillopora_meandrina_HIv1___Sc0000012:8592535-8592957	Cluster_3694	N	24	64	12	5	2
Pocillopora_meandrina_HIv1___Sc0000012:8593072-8594026	Cluster_3695	N	189	791	1797	554	6
Pocillopora_meandrina_HIv1___Sc0000012:8669892-8670347	Cluster_3696	N	119	35	40	16	12
Pocillopora_meandrina_HIv1___Sc0000012:8678382-8678810	Cluster_3697	N	49	1	80	28	6
Pocillopora_meandrina_HIv1___Sc0000012:8680468-8680897	Cluster_3698	N	73	33	50	94	14
Pocillopora_meandrina_HIv1___Sc0000012:8684119-8684548	Cluster_3699	N	67	60	49	130	27
Pocillopora_meandrina_HIv1___Sc0000012:8702728-8703537	Cluster_3700	N	1301	62	68	177	23
Pocillopora_meandrina_HIv1___Sc0000012:8706679-8707249	Cluster_3701	N	12190	7120	4193	16147	598
Pocillopora_meandrina_HIv1___Sc0000012:8707330-8707985	Cluster_3702	N	774	366	472	214	75
Pocillopora_meandrina_HIv1___Sc0000012:8709379-8709804	Cluster_3703	N	54	30	50	48	5
Pocillopora_meandrina_HIv1___Sc0000012:8715359-8715786	Cluster_3704	N	0	1	1	86	0
Pocillopora_meandrina_HIv1___Sc0000012:8718444-8718865	Cluster_3705	N	35	87	77	3	1
Pocillopora_meandrina_HIv1___Sc0000012:8718887-8719317	Cluster_3706	N	44	122	124	3	5
Pocillopora_meandrina_HIv1___Sc0000012:8721575-8722739	Cluster_3707	N	4	552	703	1419	533
Pocillopora_meandrina_HIv1___Sc0000012:8726442-8727527	Cluster_3708	N	1252	29	1268	1111	298
Pocillopora_meandrina_HIv1___Sc0000012:8729518-8730305	Cluster_3709	N	64	1	158	66	102
Pocillopora_meandrina_HIv1___Sc0000012:8731310-8731729	Cluster_3710	N	47	13	28	9	6
Pocillopora_meandrina_HIv1___Sc0000012:8752386-8752974	Cluster_3711	N	3597	20	2670	18	907
Pocillopora_meandrina_HIv1___Sc0000012:8753728-8754289	Cluster_3712	N	326	8	38	0	0
Pocillopora_meandrina_HIv1___Sc0000012:8759693-8760122	Cluster_3713	N	132	29	58	28	48
Pocillopora_meandrina_HIv1___Sc0000012:8760474-8760900	Cluster_3714	N	46	27	216	46	10
Pocillopora_meandrina_HIv1___Sc0000012:8762436-8762904	Cluster_3715	N	92	84	24	420	17
Pocillopora_meandrina_HIv1___Sc0000012:8769961-8770387	Cluster_3716	N	138	67	24	3	1
Pocillopora_meandrina_HIv1___Sc0000012:8770560-8770965	Cluster_3717	N	121	95	94	1	4
Pocillopora_meandrina_HIv1___Sc0000012:8771210-8771620	Cluster_3718	N	71	10	53	3	1
Pocillopora_meandrina_HIv1___Sc0000012:8771991-8772496	Cluster_3719	N	321	136	129	2	3
Pocillopora_meandrina_HIv1___Sc0000012:8783229-8784509	Cluster_3720	N	129	377	19	2898	566
Pocillopora_meandrina_HIv1___Sc0000012:8785059-8786838	Cluster_3721	N	582	481	895	932	307
Pocillopora_meandrina_HIv1___Sc0000012:8791402-8791892	Cluster_3722	N	161	55	20	104	106
Pocillopora_meandrina_HIv1___Sc0000012:8794216-8794640	Cluster_3723	N	2	2	67	1	4
Pocillopora_meandrina_HIv1___Sc0000012:8806206-8807054	Cluster_3724	N	850	728	598	847	199
Pocillopora_meandrina_HIv1___Sc0000012:8807244-8810154	Cluster_3725	N	3424	2362	2078	5653	808
Pocillopora_meandrina_HIv1___Sc0000012:8827927-8828910	Cluster_3726	N	1210	10	65	14	6
Pocillopora_meandrina_HIv1___Sc0000012:9075476-9076779	Cluster_3727	N	436	102	260	421	101
Pocillopora_meandrina_HIv1___Sc0000012:9076969-9077377	Cluster_3728	N	115	3	19	34	23
Pocillopora_meandrina_HIv1___Sc0000012:9077455-9078199	Cluster_3729	N	206	20	52	68	23
Pocillopora_meandrina_HIv1___Sc0000012:9079951-9081504	Cluster_3730	N	1810	776	2593	5686	73
Pocillopora_meandrina_HIv1___Sc0000012:9102736-9104307	Cluster_3731	N	563	286	766	603	30
Pocillopora_meandrina_HIv1___Sc0000012:9104863-9105713	Cluster_3732	N	356	338	554	358	9
Pocillopora_meandrina_HIv1___Sc0000012:9109032-9110534	Cluster_3733	N	628	332	361	260	200
Pocillopora_meandrina_HIv1___Sc0000012:9110815-9111243	Cluster_3734	N	28	283	152	160	36
Pocillopora_meandrina_HIv1___Sc0000012:9111593-9112002	Cluster_3735	N	11	33	28	84	17
