Orthogroup	GCF_013753865.1_Amil_v2.1.protein	Pocillopora_meandrina_HIv1.genes.pep	Porites_evermanni_v1.annot.pep
OG0004908	XP_029210937.2, XP_029210944.2, XP_044183930.1	Pocillopora_meandrina_HIv1___RNAseq.g28509.t1	Peve_00013952
OG0004909	XP_029211173.2, XP_029211174.1, XP_029211176.2	Pocillopora_meandrina_HIv1___RNAseq.g12888.t1	Peve_00018304
OG0004910	XP_029211182.2, XP_029211183.2	Pocillopora_meandrina_HIv1___RNAseq.g13664.t2	Peve_00011055, Peve_00033805
OG0004911	XP_029211210.2, XP_029211211.2	Pocillopora_meandrina_HIv1___TS.g16045.t1	Peve_00006134, Peve_00020357
OG0004912	XP_029211238.2, XP_029211239.2, XP_029211241.2	Pocillopora_meandrina_HIv1___TS.g1884.t1	Peve_00022361
OG0004913	XP_029211248.1, XP_044169498.1	Pocillopora_meandrina_HIv1___RNAseq.g24658.t1, Pocillopora_meandrina_HIv1___RNAseq.g387.t1	Peve_00013821
OG0004914	XP_029211252.1, XP_029211253.1	Pocillopora_meandrina_HIv1___RNAseq.g9735.t1	Peve_00022905, Peve_00022906
OG0004915	XP_029211273.2, XP_029211274.2, XP_029211275.2	Pocillopora_meandrina_HIv1___TS.g23342.t4	Peve_00004359
OG0004916	XP_029211295.2, XP_029211296.2	Pocillopora_meandrina_HIv1___RNAseq.g9766.t1	Peve_00033767, Peve_00034939
OG0004917	XP_029211349.2, XP_029211350.2, XP_029211351.2, XP_029211352.2, XP_044169491.1		
OG0004918	XP_029211354.2, XP_044169500.1	Pocillopora_meandrina_HIv1___TS.g23399.t2	Peve_00002886, Peve_00013824
OG0004919	XP_029211396.2, XP_044181606.1	Pocillopora_meandrina_HIv1___RNAseq.g29879.t1	Peve_00029914, Peve_00029915
OG0004920	XP_029211429.2, XP_029211430.2, XP_029211431.2, XP_029211432.2, XP_044181122.1		
OG0004921	XP_029211439.2, XP_029211501.2	Pocillopora_meandrina_HIv1___RNAseq.g23656.t1	Peve_00008844, Peve_00022229
OG0004922	XP_029211472.2, XP_029211473.2, XP_044181784.1	Pocillopora_meandrina_HIv1___RNAseq.g29868.t1	Peve_00029925
OG0004923	XP_029211478.2, XP_029211479.2, XP_044181762.1	Pocillopora_meandrina_HIv1___RNAseq.g29712.t1	Peve_00010368
OG0004924	XP_029211511.2, XP_044183097.1, XP_044183101.1	Pocillopora_meandrina_HIv1___TS.g196.t1	Peve_00015422
OG0004925	XP_029211590.2, XP_044178446.1	Pocillopora_meandrina_HIv1___RNAseq.g23657.t1	Peve_00008847, Peve_00022230
OG0004926	XP_029211605.2, XP_029211606.2, XP_044183540.1	Pocillopora_meandrina_HIv1___TS.g23426.t1	Peve_00025274
OG0004927	XP_029211654.2		Peve_00003004, Peve_00003005, Peve_00003007, Peve_00003008
OG0004928	XP_029211711.2	Pocillopora_meandrina_HIv1___RNAseq.g26614.t1	Peve_00009310, Peve_00011314, Peve_00011315
OG0004929	XP_029211730.2	Pocillopora_meandrina_HIv1___RNAseq.g17899.t1	Peve_00017187, Peve_00017193, Peve_00032281
OG0004930	XP_029211761.2	Pocillopora_meandrina_HIv1___RNAseq.g7277.t1	Peve_00034792, Peve_00041832, Peve_00041833
OG0004931	XP_029211768.2, XP_029211770.2	Pocillopora_meandrina_HIv1___TS.g1031.t1	Peve_00014928, Peve_00020652
OG0004932	XP_029211798.2, XP_044180731.1, XP_044180734.1	Pocillopora_meandrina_HIv1___RNAseq.g7353.t1	Peve_00004942
OG0004933	XP_029211884.2, XP_044175444.1	Pocillopora_meandrina_HIv1___RNAseq.g10694.t1, Pocillopora_meandrina_HIv1___RNAseq.g10695.t1	Peve_00006233
OG0004934	XP_029211897.1, XP_029211904.1, XP_044178072.1	Pocillopora_meandrina_HIv1___TS.g15743.t1	Peve_00016824
OG0004935	XP_029211936.2, XP_044172817.1	Pocillopora_meandrina_HIv1___RNAseq.g17824.t1	Peve_00017886, Peve_00021496
OG0004936	XP_029211945.2, XP_029211947.2, XP_044172804.1		Peve_00035606, Peve_00035623
OG0004937	XP_029211949.2, XP_029211950.2, XP_044172807.1	Pocillopora_meandrina_HIv1___TS.g17007.t1	Peve_00035620
OG0004938	XP_029211951.2, XP_044173410.1, XP_044173411.1	Pocillopora_meandrina_HIv1___RNAseq.4783_t	Peve_00039045
OG0004939	XP_029211962.2, XP_029211963.2, XP_029211964.2, XP_029211965.2, XP_029211966.2		
OG0004940	XP_029211972.2, XP_029211980.2, XP_044173412.1	Pocillopora_meandrina_HIv1___RNAseq.g7113.t1	Peve_00039046
OG0004941	XP_029211989.2, XP_029211990.2, XP_029211994.2	Pocillopora_meandrina_HIv1___RNAseq.g17515.t1	Peve_00030697
OG0004942	XP_029212013.2, XP_029212014.2, XP_044172803.1	Pocillopora_meandrina_HIv1___RNAseq.g17434.t1	Peve_00035611
OG0004943	XP_029212024.2, XP_029212034.2, XP_029212042.2	Pocillopora_meandrina_HIv1___RNAseq.g7123.t1	Peve_00039056
OG0004944	XP_029212033.2	Pocillopora_meandrina_HIv1___RNAseq.g17526.t1	Peve_00005362, Peve_00005364, Peve_00005365
OG0004945	XP_029212035.2, XP_029212036.2, XP_029212037.2	Pocillopora_meandrina_HIv1___RNAseq.g17529.t1	Peve_00005360
OG0004946	XP_029212044.1, XP_029212045.1, XP_029212046.1	Pocillopora_meandrina_HIv1___RNAseq.g17432.t1	Peve_00035612
OG0004947	XP_029212056.1, XP_044172808.1, XP_044172809.1	Pocillopora_meandrina_HIv1___RNAseq.g17423.t1	Peve_00023292
OG0004948	XP_029212058.2	Pocillopora_meandrina_HIv1___TS.g17124.t1	Peve_00005345, Peve_00005349, Peve_00005350
OG0004949	XP_029212085.1, XP_029212086.1	Pocillopora_meandrina_HIv1___RNAseq.g28902.t1	Peve_00027180, Peve_00027181
OG0004950	XP_029212098.1, XP_029212099.1, XP_029212100.1	Pocillopora_meandrina_HIv1___RNAseq.g28890.t1	Peve_00038464
OG0004951	XP_029212140.2	Pocillopora_meandrina_HIv1___TS.g6176.t1	Peve_00030206, Peve_00033354, Peve_00033355
OG0004952	XP_029212144.2	Pocillopora_meandrina_HIv1___RNAseq.g28922.t1, Pocillopora_meandrina_HIv1___RNAseq.g28926.t1	Peve_00018873, Peve_00019415
OG0004953	XP_029212149.2, XP_044171239.1	Pocillopora_meandrina_HIv1___RNAseq.g28911.t2	Peve_00026216, Peve_00027726
OG0004954	XP_029212218.2, XP_044176365.1, XP_044176366.1	Pocillopora_meandrina_HIv1___RNAseq.g19263.t1	Peve_00020349
OG0004955	XP_029212333.1, XP_029212334.1, XP_029212335.1	Pocillopora_meandrina_HIv1___RNAseq.g17351.t1	Peve_00043527
OG0004956	XP_029212387.2	Pocillopora_meandrina_HIv1___RNAseq.g12110.t1	Peve_00018098, Peve_00044158, Peve_00044162
OG0004957	XP_029212422.2, XP_044183547.1	Pocillopora_meandrina_HIv1___RNAseq.g12112.t1	Peve_00032287, Peve_00033738
OG0004958	XP_029212426.1, XP_029212427.1	Pocillopora_meandrina_HIv1___TS.g3454.t2	Peve_00001068, Peve_00027842
OG0004959	XP_029212569.1, XP_029212570.1	Pocillopora_meandrina_HIv1___RNAseq.g22519.t1	Peve_00013877, Peve_00033868
OG0004960	XP_029212580.2, XP_029212581.2	Pocillopora_meandrina_HIv1___RNAseq.g22825.t1	Peve_00009604, Peve_00027997
OG0004961	XP_029212689.2, XP_029212715.2, XP_044168509.1, XP_044168536.1, XP_044169828.1		
OG0004962	XP_029212796.1, XP_029212797.1, XP_044181999.1	Pocillopora_meandrina_HIv1___RNAseq.g67.t1	Peve_00044707
OG0004963	XP_029212819.1, XP_029212820.1, XP_029212821.1, XP_029212822.1		Peve_00025096
OG0004964	XP_029212857.2, XP_029212876.2	Pocillopora_meandrina_HIv1___TS.g4771.t1a, Pocillopora_meandrina_HIv1___TS.g4771.t1b	Peve_00036962
OG0004965	XP_029212880.2	Pocillopora_meandrina_HIv1___RNAseq.g12407.t1, Pocillopora_meandrina_HIv1___RNAseq.g2292.t1	Peve_00036938, Peve_00037046
OG0004966	XP_029212888.1, XP_029212889.2	Pocillopora_meandrina_HIv1___RNAseq.g1987.t1, Pocillopora_meandrina_HIv1___RNAseq.g1988.t1	Peve_00004148
OG0004967	XP_029212892.2	Pocillopora_meandrina_HIv1___RNAseq.g1990.t1a, Pocillopora_meandrina_HIv1___RNAseq.g1990.t1b	Peve_00004144, Peve_00023227
OG0004968	XP_029212965.2, XP_029212966.2	Pocillopora_meandrina_HIv1___RNAseq.g26418.t1	Peve_00000633, Peve_00029282
OG0004969	XP_029213009.2, XP_029213013.1	Pocillopora_meandrina_HIv1___RNAseq.g12836.t1c	Peve_00000957, Peve_00000958
OG0004970	XP_029213035.1, XP_029213036.1, XP_044169167.1	Pocillopora_meandrina_HIv1___RNAseq.g16621.t1	Peve_00018583
OG0004971	XP_029213051.1, XP_029213053.1, XP_029213055.1	Pocillopora_meandrina_HIv1___RNAseq.g12584.t1	Peve_00040807
OG0004972	XP_029213073.2	Pocillopora_meandrina_HIv1___TS.g25658.t1a, Pocillopora_meandrina_HIv1___TS.g25658.t1b	Peve_00005120, Peve_00024581
OG0004973	XP_029213215.2, XP_044173826.1	Pocillopora_meandrina_HIv1___RNAseq.g22179.t1	Peve_00016440, Peve_00025468
OG0004974	XP_029213244.2, XP_029213245.2, XP_029213246.2	Pocillopora_meandrina_HIv1___RNAseq.g16851.t1	Peve_00034908
OG0004975	XP_029213268.2	Pocillopora_meandrina_HIv1___RNAseq.g15188.t1, Pocillopora_meandrina_HIv1___TS.g29753.t1	Peve_00024566, Peve_00025403
OG0004976	XP_029213303.1, XP_029213304.1, XP_044164715.1	Pocillopora_meandrina_HIv1___RNAseq.g16868.t1	Peve_00038355
OG0004977	XP_029213309.2, XP_029213311.2, XP_044164498.1	Pocillopora_meandrina_HIv1___RNAseq.g17029.t1	Peve_00034927
OG0004978	XP_029213343.2, XP_044163062.1, XP_044163063.1, XP_044163064.1, XP_044163065.1		
OG0004979	XP_029213421.2	Pocillopora_meandrina_HIv1___RNAseq.g26251.t1	Peve_00004463, Peve_00013513, Peve_00028439
OG0004980	XP_029213449.2, XP_029213450.2	Pocillopora_meandrina_HIv1___RNAseq.g26524.t1	Peve_00013509, Peve_00022134
OG0004981	XP_029213455.1, XP_044184105.1, XP_044184106.1, XP_044184108.1	Pocillopora_meandrina_HIv1___RNAseq.g26247.t1	
OG0004982	XP_029213490.1, XP_029213498.1, XP_029213505.1	Pocillopora_meandrina_HIv1___RNAseq.g7061.t1	Peve_00026968
OG0004983	XP_029213539.2, XP_044168626.1, XP_044168627.1, XP_044168628.1	Pocillopora_meandrina_HIv1___RNAseq.g2697.t1	
OG0004984	XP_029213561.2, XP_044170475.1, XP_044170476.1	Pocillopora_meandrina_HIv1___RNAseq.g13933.t1	Peve_00044201
OG0004985	XP_029213563.2, XP_044168670.1, XP_044168671.1	Pocillopora_meandrina_HIv1___RNAseq.g13910.t1	Peve_00036500
OG0004986	XP_029213583.1, XP_029213584.1, XP_029213585.1	Pocillopora_meandrina_HIv1___RNAseq.g9618.t1	Peve_00024469
OG0004987	XP_029213713.2, XP_029213714.2	Pocillopora_meandrina_HIv1___RNAseq.g27181.t1	Peve_00016947, Peve_00022085
OG0004988	XP_029213845.2, XP_029213846.2, XP_044174532.1	Pocillopora_meandrina_HIv1___RNAseq.g10827.t3	Peve_00018419
OG0004989	XP_029213874.2, XP_029213875.2, XP_029213876.2	Pocillopora_meandrina_HIv1___RNAseq.g12977.t2	Peve_00022544
OG0004990	XP_029213887.1, XP_029213888.1	Pocillopora_meandrina_HIv1___RNAseq.g2916.t1c	Peve_00000367, Peve_00023939
OG0004991	XP_029213893.2, XP_044166789.1, XP_044167902.1, XP_044168316.1, XP_044174266.1		
OG0004992	XP_029213962.2, XP_029213970.2, XP_029213976.2	Pocillopora_meandrina_HIv1___RNAseq.g8037.t1	Peve_00015611
OG0004993	XP_029213971.2, XP_029213972.1	Pocillopora_meandrina_HIv1___RNAseq.g23908.t1, Pocillopora_meandrina_HIv1___RNAseq.g23910.t1	Peve_00027017
OG0004994	XP_029213989.2, XP_044177976.1, XP_044177977.1	Pocillopora_meandrina_HIv1___RNAseq.g23825.t1	Peve_00018057
OG0004995	XP_029214020.2, XP_029214055.2	Pocillopora_meandrina_HIv1___RNAseq.g23588.t1, Pocillopora_meandrina_HIv1___RNAseq.g23589.t1	Peve_00030418
OG0004996	XP_029214025.1, XP_029214027.1, XP_044177871.1	Pocillopora_meandrina_HIv1___RNAseq.g23956.t1c	Peve_00013910
OG0004997	XP_029214092.2, XP_029214093.2, XP_029214094.2	Pocillopora_meandrina_HIv1___RNAseq.g30394.t1	Peve_00028794
OG0004998	XP_029214149.1, XP_029214157.1, XP_029214163.1	Pocillopora_meandrina_HIv1___RNAseq.g6932.t1	Peve_00008225
OG0004999	XP_029214196.2, XP_029214197.2	Pocillopora_meandrina_HIv1___RNAseq.g17763.t1	Peve_00031936, Peve_00033735
OG0005000	XP_029214254.2, XP_029214255.2, XP_029214256.2	Pocillopora_meandrina_HIv1___RNAseq.g7324.t1	Peve_00010695
OG0005001	XP_029214259.2, XP_029214267.2	Pocillopora_meandrina_HIv1___RNAseq.g7402.t1	Peve_00026898, Peve_00026899
OG0005002	XP_029214275.2, XP_044184554.1	Pocillopora_meandrina_HIv1___RNAseq.g7332.t1	Peve_00025996, Peve_00036243
OG0005003	XP_029214286.1, XP_029214287.1, XP_029214288.1	Pocillopora_meandrina_HIv1___RNAseq.g18584.t1	Peve_00043986
OG0005004	XP_029214321.2, XP_029214322.2, XP_029214323.2	Pocillopora_meandrina_HIv1___TS.g27927.t1a	Peve_00025471
OG0005005	XP_029214387.2, XP_029214398.2, XP_044183963.1	Pocillopora_meandrina_HIv1___RNAseq.g1175.t1	Peve_00006149
OG0005006	XP_029214410.2	Pocillopora_meandrina_HIv1___RNAseq.g10609.t1, Pocillopora_meandrina_HIv1___RNAseq.g27217.t1, Pocillopora_meandrina_HIv1___RNAseq.g27219.t1	Peve_00041508
OG0005007	XP_029214462.2, XP_044178101.1	Pocillopora_meandrina_HIv1___RNAseq.g23252.t1	Peve_00017065, Peve_00028440
OG0005008	XP_029214463.2, XP_044178102.1	Pocillopora_meandrina_HIv1___RNAseq.g23253.t1	Peve_00017066, Peve_00017068
OG0005009	XP_029214486.2, XP_029214487.2, XP_029214488.2	Pocillopora_meandrina_HIv1___RNAseq.g23235.t1	Peve_00020927
OG0005010	XP_029214500.2, XP_044164018.1, XP_044179513.1	Pocillopora_meandrina_HIv1___RNAseq.g9603.t1	Peve_00007220
OG0005011	XP_029214542.2, XP_029214556.2, XP_044175801.1	Pocillopora_meandrina_HIv1___RNAseq.g12346.t1	Peve_00038191
OG0005012	XP_029214587.2, XP_029214588.2	Pocillopora_meandrina_HIv1___TS.g23223.t1	Peve_00009565, Peve_00032386
OG0005013	XP_044162686.1, XP_044167523.1, XP_044171311.1, XP_044182693.1, XP_044184325.1		
OG0005014	XP_044162690.1, XP_044162691.1, XP_044162692.1	Pocillopora_meandrina_HIv1___RNAseq.g5057.t1	Peve_00012519
OG0005015	XP_044162706.1, XP_044171715.1	Pocillopora_meandrina_HIv1___RNAseq.g184.t1a, Pocillopora_meandrina_HIv1___TS.g3961.t1	Peve_00009415
OG0005016	XP_044162726.1	Pocillopora_meandrina_HIv1___RNAseq.g5124.t1, Pocillopora_meandrina_HIv1___RNAseq.g5125.t1, Pocillopora_meandrina_HIv1___RNAseq.g5126.t1	Peve_00045247
OG0005017	XP_044162727.1	Pocillopora_meandrina_HIv1___TS.g1481.t1a	Peve_00005054, Peve_00008392, Peve_00008393
OG0005018	XP_044162736.1, XP_044163543.1, XP_044163544.1	Pocillopora_meandrina_HIv1___RNAseq.g8955.t1	Peve_00043037
OG0005019	XP_044162745.1, XP_044162746.1	Pocillopora_meandrina_HIv1___RNAseq.g5960.t1	Peve_00012499, Peve_00019759
OG0005020	XP_044162748.1	Pocillopora_meandrina_HIv1___RNAseq.g15134.t1, Pocillopora_meandrina_HIv1___RNAseq.g15136.t1	Peve_00001277, Peve_00013326
OG0005021	XP_044162791.1, XP_044165761.1, XP_044168940.1, XP_044169477.1, XP_044179521.1		
OG0005022	XP_044162806.1, XP_044162813.1, XP_044172345.1	Pocillopora_meandrina_HIv1___TS.g19845.t2b	Peve_00017153
OG0005023	XP_044162827.1, XP_044162828.1, XP_044162829.1	Pocillopora_meandrina_HIv1___TS.g23886.t1b	Peve_00026523
OG0005024	XP_044162855.1, XP_044162856.1, XP_044162857.1, XP_044162858.1		Peve_00009140
OG0005025	XP_044162862.1, XP_044163612.1	Pocillopora_meandrina_HIv1___RNAseq.g5277.t1, Pocillopora_meandrina_HIv1___TS.g23998.t1	Peve_00012819
OG0005026	XP_044162895.1, XP_044184407.1	Pocillopora_meandrina_HIv1___RNAseq.g28255.t1	Peve_00020974, Peve_00032632
OG0005027	XP_044162906.1	Pocillopora_meandrina_HIv1___TS.g20865.t1c	Peve_00002478, Peve_00037845, Peve_00037852
OG0005028	XP_044162968.1, XP_044162969.1	Pocillopora_meandrina_HIv1___RNAseq.g17893.t1, Pocillopora_meandrina_HIv1___RNAseq.g17932.t1	Peve_00022340
OG0005029	XP_044162995.1	Pocillopora_meandrina_HIv1___TS.g24763.t1c, Pocillopora_meandrina_HIv1___TS.g24767.t1	Peve_00031828, Peve_00031829
OG0005030	XP_044163035.1, XP_044163704.1, XP_044184270.1, XP_044184271.1, XP_044184278.1		
OG0005031	XP_044163092.1, XP_044163093.1, XP_044163094.1, XP_044163095.1, XP_044163096.1		
OG0005032	XP_044163104.1	Pocillopora_meandrina_HIv1___TS.g403.t1	Peve_00005029, Peve_00006228, Peve_00019511
OG0005033	XP_044163126.1, XP_044164277.1, XP_044182900.1		Peve_00022363, Peve_00041536
OG0005034	XP_044163129.1, XP_044163130.1	Pocillopora_meandrina_HIv1___RNAseq.g5076.t1	Peve_00025438, Peve_00032865
OG0005035	XP_044163133.1, XP_044170529.1	Pocillopora_meandrina_HIv1___RNAseq.g30181.t1	Peve_00027426, Peve_00027980
OG0005036	XP_044163184.1, XP_044184589.1	Pocillopora_meandrina_HIv1___RNAseq.g881.t1	Peve_00029449, Peve_00029451
OG0005037	XP_044163212.1, XP_044163213.1, XP_044163214.1	Pocillopora_meandrina_HIv1___RNAseq.g5396.t1	Peve_00030223
OG0005038	XP_044163221.1, XP_044163225.1, XP_044163227.1	Pocillopora_meandrina_HIv1___RNAseq.g8266.t1	Peve_00007461
OG0005039	XP_044163231.1, XP_044163232.1, XP_044163233.1, XP_044179746.1	Pocillopora_meandrina_HIv1___RNAseq.g9370.t1	
OG0005040	XP_044163235.1, XP_044163713.1		Peve_00002258, Peve_00014289, Peve_00042203
OG0005041	XP_044163240.1, XP_044163241.1, XP_044163242.1	Pocillopora_meandrina_HIv1___TS.g21380.t1	Peve_00003984
OG0005042	XP_044163247.1, XP_044163248.1, XP_044163249.1, XP_044163683.1, XP_044163731.1		
OG0005043	XP_044163256.1, XP_044185244.1	Pocillopora_meandrina_HIv1___RNAseq.g17904.t1, Pocillopora_meandrina_HIv1___RNAseq.g17906.t1	Peve_00017192
OG0005044	XP_044163264.1	Pocillopora_meandrina_HIv1___RNAseq.g19596.t1, Pocillopora_meandrina_HIv1___RNAseq.g19607.t1, Pocillopora_meandrina_HIv1___RNAseq.g25086.t2	Peve_00001798
OG0005045	XP_044163268.1, XP_044181567.1, XP_044181568.1	Pocillopora_meandrina_HIv1___RNAseq.g18390.t1	Peve_00032624
OG0005046	XP_044163321.1, XP_044163322.1, XP_044163325.1	Pocillopora_meandrina_HIv1___RNAseq.g5861.t1	Peve_00013719
OG0005047	XP_044163419.1, XP_044163936.1, XP_044179146.1	Pocillopora_meandrina_HIv1___RNAseq.g6442.t1	Peve_00004609
OG0005048	XP_044163459.1	Pocillopora_meandrina_HIv1___RNAseq.g18160.t1, Pocillopora_meandrina_HIv1___RNAseq.g18162.t1	Peve_00011286, Peve_00018055
OG0005049	XP_044163483.1, XP_044163484.1, XP_044163485.1	Pocillopora_meandrina_HIv1___RNAseq.g20153.t1	Peve_00042024
OG0005050	XP_044163503.1, XP_044163504.1, XP_044163505.1	Pocillopora_meandrina_HIv1___RNAseq.g18003.t1	Peve_00026597
OG0005051	XP_044163525.1, XP_044179616.1	Pocillopora_meandrina_HIv1___RNAseq.g11465.t1, Pocillopora_meandrina_HIv1___RNAseq.g13920.t1	Peve_00032245
OG0005052	XP_044163607.1, XP_044183380.1, XP_044184781.1, XP_044185120.1		Peve_00016913
OG0005053	XP_044163627.1, XP_044163628.1	Pocillopora_meandrina_HIv1___TS.g21110.t1	Peve_00021147, Peve_00040699
OG0005054	XP_044163646.1, XP_044163647.1, XP_044163648.1, XP_044163649.1	Pocillopora_meandrina_HIv1___RNAseq.g30260.t1	
OG0005055	XP_044163685.1	Pocillopora_meandrina_HIv1___RNAseq.g8362.t1	Peve_00034320, Peve_00034321, Peve_00034766
OG0005056	XP_044163738.1, XP_044163739.1, XP_044168329.1, XP_044182772.1, XP_044182774.1		
OG0005057	XP_044163789.1		Peve_00021149, Peve_00029467, Peve_00029499, Peve_00038687
OG0005058	XP_044163830.1, XP_044164677.1, XP_044174365.1, XP_044175559.1		Peve_00013105
OG0005059	XP_044163854.1, XP_044176605.1, XP_044176649.1, XP_044183721.1		Peve_00035231
OG0005060	XP_044163857.1, XP_044165804.1, XP_044169422.1, XP_044170980.1, XP_044179124.1		
OG0005061	XP_044163912.1, XP_044180059.1		Peve_00010895, Peve_00021421, Peve_00040982
OG0005062	XP_044163928.1, XP_044166603.1, XP_044167357.1		Peve_00005855, Peve_00008341
OG0005063	XP_044163949.1, XP_044179693.1	Pocillopora_meandrina_HIv1___RNAseq.g10215.t1, Pocillopora_meandrina_HIv1___RNAseq.g27104.t1	Peve_00003380
OG0005064	XP_044163990.1, XP_044163991.1	Pocillopora_meandrina_HIv1___RNAseq.g16459.t1	Peve_00031152, Peve_00036887
OG0005065	XP_044164070.1, XP_044164071.1		Peve_00001320, Peve_00020326, Peve_00020328
OG0005066	XP_044164109.1, XP_044164110.1, XP_044164111.1	Pocillopora_meandrina_HIv1___RNAseq.g17187.t1	Peve_00026902
OG0005067	XP_044164134.1, XP_044165056.1, XP_044170872.1, XP_044176057.1, XP_044180062.1		
OG0005068	XP_044164242.1	Pocillopora_meandrina_HIv1___RNAseq.g17148.t1	Peve_00021763, Peve_00021764, Peve_00028201
OG0005069	XP_044164269.1, XP_044164270.1	Pocillopora_meandrina_HIv1___TS.g7879.t1	Peve_00029196, Peve_00035089
OG0005070	XP_044164329.1, XP_044164515.1	Pocillopora_meandrina_HIv1___RNAseq.g9195.t1, Pocillopora_meandrina_HIv1___TS.g23725.t2	Peve_00024202
OG0005071	XP_044164412.1	Pocillopora_meandrina_HIv1___RNAseq.g11522.t1, Pocillopora_meandrina_HIv1___RNAseq.g11524.t1, Pocillopora_meandrina_HIv1___TS.g7635.t1	Peve_00030042
OG0005072	XP_044164467.1, XP_044166757.1, XP_044170803.1, XP_044174248.1		Peve_00044217
OG0005073	XP_044164479.1		Peve_00012109, Peve_00018831, Peve_00020750, Peve_00021395
OG0005074	XP_044164485.1, XP_044165240.1, XP_044166606.1, XP_044170405.1, XP_044175423.1		
OG0005075	XP_044164510.1, XP_044171463.1, XP_044171706.1, XP_044174570.1, XP_044180440.1		
OG0005076	XP_044164519.1	Pocillopora_meandrina_HIv1___RNAseq.g28794.t1	Peve_00005763, Peve_00014350, Peve_00043776
OG0005077	XP_044164546.1, XP_044164547.1, XP_044164548.1	Pocillopora_meandrina_HIv1___RNAseq.g17295.t1	Peve_00023374
OG0005078	XP_044164579.1	Pocillopora_meandrina_HIv1___RNAseq.g26226.t1	Peve_00000245, Peve_00027312, Peve_00040743
OG0005079	XP_044164648.1	Pocillopora_meandrina_HIv1___RNAseq.g8583.t1, Pocillopora_meandrina_HIv1___RNAseq.g8585.t1	Peve_00013709, Peve_00013711
OG0005080	XP_044164670.1	Pocillopora_meandrina_HIv1___RNAseq.g27320.t1, Pocillopora_meandrina_HIv1___RNAseq.g27321.t1	Peve_00016169, Peve_00022850
OG0005081	XP_044164672.1, XP_044164673.1, XP_044164674.1	Pocillopora_meandrina_HIv1___RNAseq.g11224.t1	Peve_00008875
OG0005082	XP_044164678.1, XP_044165179.1, XP_044166165.1, XP_044171736.1, XP_044181338.1		
OG0005083	XP_044164684.1		Peve_00002229, Peve_00011185, Peve_00018577, Peve_00036146
OG0005084	XP_044164692.1	Pocillopora_meandrina_HIv1___RNAseq.g17178.t1, Pocillopora_meandrina_HIv1___RNAseq.g4480.t1, Pocillopora_meandrina_HIv1___RNAseq.g4481.t1	Peve_00005720
OG0005085	XP_044164708.1, XP_044171838.1, XP_044181577.1		Peve_00020747, Peve_00044656
OG0005086	XP_044164749.1, XP_044170070.1	Pocillopora_meandrina_HIv1___RNAseq.g6055.t1, Pocillopora_meandrina_HIv1___RNAseq.g9236.t1, Pocillopora_meandrina_HIv1___TS.g26555.t1	
OG0005087	XP_044164763.1, XP_044164765.1, XP_044164766.1, XP_044167945.1, XP_044167946.1		
OG0005088	XP_044164794.1, XP_044164795.1, XP_044172088.1	Pocillopora_meandrina_HIv1___RNAseq.g14104.t1	Peve_00008113
OG0005089	XP_044164799.1, XP_044173185.1	Pocillopora_meandrina_HIv1___RNAseq.g25983.t1	Peve_00007714, Peve_00037205
OG0005090	XP_044164845.1, XP_044164846.1, XP_044164847.1, XP_044164862.1		Peve_00000901
OG0005091	XP_044164871.1, XP_044165451.1, XP_044165454.1, XP_044169637.1, XP_044172301.1		
OG0005092	XP_044164880.1, XP_044166214.1, XP_044166506.1, XP_044167214.1, XP_044170906.1		
OG0005093	XP_044164918.1, XP_044164922.1	Pocillopora_meandrina_HIv1___RNAseq.g12771.t1	Peve_00019393, Peve_00021976
OG0005094	XP_044164950.1, XP_044165020.1, XP_044169847.1, XP_044170347.1, XP_044170348.1		
OG0005095	XP_044164988.1, XP_044164989.1	Pocillopora_meandrina_HIv1___RNAseq.g149.t1, Pocillopora_meandrina_HIv1___RNAseq.g151.t1, Pocillopora_meandrina_HIv1___TS.g6918.t1	
OG0005096	XP_044165018.1, XP_044172480.1		Peve_00000875, Peve_00005265, Peve_00023510
OG0005097	XP_044165055.1, XP_044166361.1, XP_044171841.1, XP_044174545.1, XP_044179043.1		
OG0005098	XP_044165076.1, XP_044165077.1	Pocillopora_meandrina_HIv1___TS.g25577.t1	Peve_00001666, Peve_00001667
OG0005099	XP_044165089.1, XP_044165090.1	Pocillopora_meandrina_HIv1___RNAseq.g25357.t1	Peve_00023695, Peve_00025689
OG0005100	XP_044165110.1, XP_044165111.1, XP_044165112.1	Pocillopora_meandrina_HIv1___TS.g16529.t1	Peve_00043705
OG0005101	XP_044165138.1, XP_044167607.1, XP_044171073.1		Peve_00005903, Peve_00035032
OG0005102	XP_044165145.1	Pocillopora_meandrina_HIv1___RNAseq.g25348.t1	Peve_00021774, Peve_00021775, Peve_00034410
OG0005103	XP_044165165.1, XP_044185013.1		Peve_00014632, Peve_00040599, Peve_00042283
OG0005104	XP_044165204.1, XP_044183958.1	Pocillopora_meandrina_HIv1___RNAseq.g16243.t1, Pocillopora_meandrina_HIv1___TS.g17440.t1a	Peve_00040334
OG0005105	XP_044165228.1, XP_044166151.1, XP_044167985.1, XP_044167986.1, XP_044170659.1		
OG0005106	XP_044165266.1, XP_044165799.1	Pocillopora_meandrina_HIv1___RNAseq.g15271.t1, Pocillopora_meandrina_HIv1___RNAseq.g15577.t1, Pocillopora_meandrina_HIv1___TS.g14166.t1	
