Coords	Name	MIRNA	sRNA-POC-47-S1-TP2_R1_001.fastp-R1-31bp-auto_adapters-polyG	sRNA-POC-48-S1-TP2_R1_001.fastp-R1-31bp-auto_adapters-polyG	sRNA-POC-50-S1-TP2_R1_001.fastp-R1-31bp-auto_adapters-polyG	sRNA-POC-53-S1-TP2_R1_001.fastp-R1-31bp-auto_adapters-polyG	sRNA-POC-57-S1-TP2_R1_001.fastp-R1-31bp-auto_adapters-polyG
Pocillopora_meandrina_HIv1___Sc0000007:12544927-12545504	Cluster_2947	N	43	58	86	37	14
Pocillopora_meandrina_HIv1___Sc0000007:12560397-12560811	Cluster_2948	N	126	2328	302	2283	107
Pocillopora_meandrina_HIv1___Sc0000007:12573621-12574763	Cluster_2949	N	490	189	801	554	96
Pocillopora_meandrina_HIv1___Sc0000007:12578997-12579419	Cluster_2950	N	4	2	7	4	69
Pocillopora_meandrina_HIv1___Sc0000007:12585902-12586630	Cluster_2951	N	74	51	236	386	145
Pocillopora_meandrina_HIv1___Sc0000007:12590176-12590607	Cluster_2952	N	10	859	2	20	9
Pocillopora_meandrina_HIv1___Sc0000007:12591473-12591879	Cluster_2953	N	103	9	10	0	3
Pocillopora_meandrina_HIv1___Sc0000007:12595830-12596316	Cluster_2954	N	1278	526	132	1991	116
Pocillopora_meandrina_HIv1___Sc0000007:12596390-12598169	Cluster_2955	N	3834	2841	4015	3434	1263
Pocillopora_meandrina_HIv1___Sc0000007:12598812-12601054	Cluster_2956	N	3397	77	1986	1990	49
Pocillopora_meandrina_HIv1___Sc0000007:12601338-12601763	Cluster_2957	N	42	20	33	20	9
Pocillopora_meandrina_HIv1___Sc0000007:12607904-12608331	Cluster_2958	N	121	30	4	17	17
Pocillopora_meandrina_HIv1___Sc0000007:12608475-12609228	Cluster_2959	N	2108	3160	148	104	417
Pocillopora_meandrina_HIv1___Sc0000007:12616872-12617388	Cluster_2960	N	123	315	281	297	9
Pocillopora_meandrina_HIv1___Sc0000007:12617410-12617991	Cluster_2961	N	259	156	669	1330	57
Pocillopora_meandrina_HIv1___Sc0000007:12619579-12620456	Cluster_2962	N	404	233	144	335	59
Pocillopora_meandrina_HIv1___Sc0000007:12624822-12625236	Cluster_2963	N	234	27	374	406	241
Pocillopora_meandrina_HIv1___Sc0000007:12625344-12625932	Cluster_2964	N	200	59	187	107	59
Pocillopora_meandrina_HIv1___Sc0000007:12626251-12626661	Cluster_2965	N	59	16	66	29	13
Pocillopora_meandrina_HIv1___Sc0000007:12627062-12627490	Cluster_2966	N	95	28	91	44	38
Pocillopora_meandrina_HIv1___Sc0000007:12627799-12628228	Cluster_2967	N	159	29	91	46	32
Pocillopora_meandrina_HIv1___Sc0000007:12631368-12631796	Cluster_2968	N	42	20	40	39	13
Pocillopora_meandrina_HIv1___Sc0000007:12639716-12640228	Cluster_2969	N	144	356	2105	1003	163
Pocillopora_meandrina_HIv1___Sc0000007:12642478-12642981	Cluster_2970	N	77	7	109	51	22
Pocillopora_meandrina_HIv1___Sc0000007:12647061-12647489	Cluster_2971	N	78	26	91	19	31
Pocillopora_meandrina_HIv1___Sc0000007:12648700-12649127	Cluster_2972	N	17	25	34	41	14
Pocillopora_meandrina_HIv1___Sc0000007:12699562-12699991	Cluster_2973	N	9	252	0	300	0
Pocillopora_meandrina_HIv1___Sc0000007:12746813-12747238	Cluster_2974	N	4	294	10	4	264
Pocillopora_meandrina_HIv1___Sc0000007:12839525-12839948	Cluster_2975	N	1933	3333	2047	2656	6231
Pocillopora_meandrina_HIv1___Sc0000007:12853897-12855168	Cluster_2976	N	459	149	229	341	83
Pocillopora_meandrina_HIv1___Sc0000007:12855655-12856465	Cluster_2977	N	473	92	159	440	68
Pocillopora_meandrina_HIv1___Sc0000007:12856549-12856975	Cluster_2978	N	150	69	47	30	27
Pocillopora_meandrina_HIv1___Sc0000007:12857328-12858115	Cluster_2979	N	277	145	67	1551	10
Pocillopora_meandrina_HIv1___Sc0000007:12867093-12867895	Cluster_2980	N	73	139	567	458	92
Pocillopora_meandrina_HIv1___Sc0000007:12899034-12899568	Cluster_2981	N	542	15	393	266	134
Pocillopora_meandrina_HIv1___Sc0000007:12940140-12942179	Cluster_2982	N	5723	954	2988	2326	441
Pocillopora_meandrina_HIv1___Sc0000007:12943889-12944684	Cluster_2983	N	682	679	788	820	89
Pocillopora_meandrina_HIv1___Sc0000007:12945055-12945484	Cluster_2984	N	7	205	10	28	6
Pocillopora_meandrina_HIv1___Sc0000007:12945924-12946595	Cluster_2985	N	83	11	23	768	2
Pocillopora_meandrina_HIv1___Sc0000007:12947360-12947787	Cluster_2986	N	153	1487	2341	231	4
Pocillopora_meandrina_HIv1___Sc0000007:12948352-12949360	Cluster_2987	N	366	306	923	1839	86
Pocillopora_meandrina_HIv1___Sc0000007:12960835-12961264	Cluster_2988	N	174	0	0	279	1
Pocillopora_meandrina_HIv1___Sc0000007:12962412-12962949	Cluster_2989	N	302	34	131	66	67
Pocillopora_meandrina_HIv1___Sc0000007:12980183-12980657	Cluster_2990	N	19	4	249	41	70
Pocillopora_meandrina_HIv1___Sc0000007:12981420-12982492	Cluster_2991	N	862	366	575	1942	193
Pocillopora_meandrina_HIv1___Sc0000007:12987573-12989325	Cluster_2992	N	11251	2934	1609	6597	478
Pocillopora_meandrina_HIv1___Sc0000007:12990601-12991441	Cluster_2993	N	13059	2349	1268	6693	328
Pocillopora_meandrina_HIv1___Sc0000007:12993685-12994114	Cluster_2994	N	44	27	1	11	603
Pocillopora_meandrina_HIv1___Sc0000007:13000411-13000840	Cluster_2995	N	61	12	20	133	14
Pocillopora_meandrina_HIv1___Sc0000007:13000983-13001963	Cluster_2996	N	814	1495	1094	1250	347
Pocillopora_meandrina_HIv1___Sc0000007:13011618-13012043	Cluster_2997	N	29	8	14	63	13
Pocillopora_meandrina_HIv1___Sc0000007:13012876-13013305	Cluster_2998	N	33	257	15	51	14
Pocillopora_meandrina_HIv1___Sc0000007:13013702-13014122	Cluster_2999	N	9	5	4	0	128
Pocillopora_meandrina_HIv1___Sc0000007:13014797-13015223	Cluster_3000	N	13	103	4	46	63
Pocillopora_meandrina_HIv1___Sc0000007:13020809-13021328	Cluster_3001	N	28	13	656	8	206
Pocillopora_meandrina_HIv1___Sc0000007:13021333-13022809	Cluster_3002	N	35	37	1653	333	277
Pocillopora_meandrina_HIv1___Sc0000007:13024376-13025543	Cluster_3003	N	99	1002	749	1	275
Pocillopora_meandrina_HIv1___Sc0000007:13025838-13026267	Cluster_3004	N	15	203	110	2	21
Pocillopora_meandrina_HIv1___Sc0000007:13026728-13027153	Cluster_3005	N	71	6	5	0	83
Pocillopora_meandrina_HIv1___Sc0000007:13031527-13031935	Cluster_3006	N	98	111	0	1	60
Pocillopora_meandrina_HIv1___Sc0000007:13032199-13032599	Cluster_3007	N	90	126	4	3	25
Pocillopora_meandrina_HIv1___Sc0000007:13032732-13033420	Cluster_3008	N	776	120	65	2	104
Pocillopora_meandrina_HIv1___Sc0000007:13039656-13040080	Cluster_3009	N	14	0	2	114	12
Pocillopora_meandrina_HIv1___Sc0000007:13041094-13041498	Cluster_3010	N	9	0	7	193	30
Pocillopora_meandrina_HIv1___Sc0000007:13050160-13050588	Cluster_3011	N	35	6	17	42	13
Pocillopora_meandrina_HIv1___Sc0000007:13057558-13058799	Cluster_3012	N	949	869	6888	2274	65
Pocillopora_meandrina_HIv1___Sc0000007:13069895-13070307	Cluster_3013	N	137	6	0	12	10
Pocillopora_meandrina_HIv1___Sc0000007:13070719-13071146	Cluster_3014	N	307	1	3	44	4
Pocillopora_meandrina_HIv1___Sc0000007:13071415-13071899	Cluster_3015	N	130	2	0	136	2
Pocillopora_meandrina_HIv1___Sc0000007:13084814-13085224	Cluster_3016	N	21	1	163	20	13
Pocillopora_meandrina_HIv1___Sc0000007:13086411-13086835	Cluster_3017	N	65	8	57	48	20
Pocillopora_meandrina_HIv1___Sc0000007:13087131-13087891	Cluster_3018	N	98	11	107	51	16
Pocillopora_meandrina_HIv1___Sc0000007:13095271-13095699	Cluster_3019	N	101	51	26	82	8
Pocillopora_meandrina_HIv1___Sc0000007:13096929-13097630	Cluster_3020	N	96	45	53	44	14
Pocillopora_meandrina_HIv1___Sc0000007:13100219-13100648	Cluster_3021	N	51	15	52	34	10
Pocillopora_meandrina_HIv1___Sc0000007:13348977-13349392	Cluster_3022	N	72	23	72	0	1
Pocillopora_meandrina_HIv1___Sc0000007:13478561-13478977	Cluster_3023	N	69	86	13	615	527
Pocillopora_meandrina_HIv1___Sc0000007:13555574-13556003	Cluster_3024	N	134	0	0	1	0
Pocillopora_meandrina_HIv1___Sc0000008:144365-144794	Cluster_3025	N	1	1	2	0	183
Pocillopora_meandrina_HIv1___Sc0000008:145548-146144	Cluster_3026	N	1222	557	1544	1176	1129
Pocillopora_meandrina_HIv1___Sc0000008:178210-178625	Cluster_3027	N	0	20	0	1	149
Pocillopora_meandrina_HIv1___Sc0000008:234988-235415	Cluster_3028	N	4	123	8	4	2
Pocillopora_meandrina_HIv1___Sc0000008:280280-280695	Cluster_3029	N	10	21	4	22	60
Pocillopora_meandrina_HIv1___Sc0000008:597467-597881	Cluster_3030	N	267	721	157	420	901
Pocillopora_meandrina_HIv1___Sc0000008:636585-637181	Cluster_3031	N	1223	533	1489	1137	1136
Pocillopora_meandrina_HIv1___Sc0000008:806592-807009	Cluster_3032	N	5	35	1	24	81
Pocillopora_meandrina_HIv1___Sc0000008:930863-931277	Cluster_3033	N	66	19	0	55	10
Pocillopora_meandrina_HIv1___Sc0000008:960182-960609	Cluster_3034	N	0	0	199	0	2
Pocillopora_meandrina_HIv1___Sc0000008:1007000-1007429	Cluster_3035	N	107	0	0	73	0
Pocillopora_meandrina_HIv1___Sc0000008:1058500-1058927	Cluster_3036	N	11	16	121	6	16
Pocillopora_meandrina_HIv1___Sc0000008:1087037-1087451	Cluster_3037	N	0	22	26	205	55
Pocillopora_meandrina_HIv1___Sc0000008:1311747-1312175	Cluster_3038	N	1	7	47	92	2
Pocillopora_meandrina_HIv1___Sc0000008:1344661-1345210	Cluster_3039	N	2	9	56	153	91
Pocillopora_meandrina_HIv1___Sc0000008:1357373-1357788	Cluster_3040	N	0	7	0	17	112
Pocillopora_meandrina_HIv1___Sc0000008:1370425-1370839	Cluster_3041	N	12	102	1	31	95
Pocillopora_meandrina_HIv1___Sc0000008:1506278-1506707	Cluster_3042	N	1	4	243	0	3
Pocillopora_meandrina_HIv1___Sc0000008:1603032-1603625	Cluster_3043	N	20	265	16	112	119
Pocillopora_meandrina_HIv1___Sc0000008:1604007-1604500	Cluster_3044	N	12	202	29	141	142
Pocillopora_meandrina_HIv1___Sc0000008:1604636-1605101	Cluster_3045	N	11	199	20	160	177
Pocillopora_meandrina_HIv1___Sc0000008:1605572-1606131	Cluster_3046	N	13	241	7	159	119
Pocillopora_meandrina_HIv1___Sc0000008:1783802-1783891	Cluster_3047	Y	395	236	189	150	148
Pocillopora_meandrina_HIv1___Sc0000008:1803785-1804208	Cluster_3048	N	4637	3224	2402	5774	2152
Pocillopora_meandrina_HIv1___Sc0000008:1917222-1917651	Cluster_3049	N	45	25	44	36	6
Pocillopora_meandrina_HIv1___Sc0000008:1921539-1922471	Cluster_3050	N	206	11	46	592	325
Pocillopora_meandrina_HIv1___Sc0000008:1929792-1930221	Cluster_3051	N	281	0	1	27	3
Pocillopora_meandrina_HIv1___Sc0000008:1931349-1931776	Cluster_3052	N	31	4	72	6	23
Pocillopora_meandrina_HIv1___Sc0000008:1933348-1934417	Cluster_3053	N	13	1558	676	1377	164
Pocillopora_meandrina_HIv1___Sc0000008:1940796-1941224	Cluster_3054	N	1	1	0	92	1
Pocillopora_meandrina_HIv1___Sc0000008:1947797-1948209	Cluster_3055	N	13	37	4	61	7
Pocillopora_meandrina_HIv1___Sc0000008:1982269-1982694	Cluster_3056	N	1	40	10	60	4
Pocillopora_meandrina_HIv1___Sc0000008:1986496-1986975	Cluster_3057	N	766	342	910	3113	288
Pocillopora_meandrina_HIv1___Sc0000008:1988273-1990998	Cluster_3058	N	1512	788	2924	4884	151
Pocillopora_meandrina_HIv1___Sc0000008:2002299-2002723	Cluster_3059	N	36	23	92	19	20
Pocillopora_meandrina_HIv1___Sc0000008:2004591-2005854	Cluster_3060	N	2573	6457	480	838	128
Pocillopora_meandrina_HIv1___Sc0000008:2007397-2007827	Cluster_3061	N	1455	1117	1573	1695	590
Pocillopora_meandrina_HIv1___Sc0000008:2012235-2013269	Cluster_3062	N	1723	112	389	651	97
Pocillopora_meandrina_HIv1___Sc0000008:2013407-2013886	Cluster_3063	N	1486	480	179	2622	36
Pocillopora_meandrina_HIv1___Sc0000008:2013935-2014362	Cluster_3064	N	112	46	111	100	5
Pocillopora_meandrina_HIv1___Sc0000008:2018903-2019724	Cluster_3065	N	17190	5670	8676	6666	3326
Pocillopora_meandrina_HIv1___Sc0000008:2019808-2021489	Cluster_3066	N	712	263	481	417	105
Pocillopora_meandrina_HIv1___Sc0000008:2022209-2022636	Cluster_3067	N	143	3	17	8	15
Pocillopora_meandrina_HIv1___Sc0000008:2030130-2031952	Cluster_3068	N	11651	3494	4360	4885	1876
Pocillopora_meandrina_HIv1___Sc0000008:2032341-2036047	Cluster_3069	N	32792	15617	23443	15978	4064
Pocillopora_meandrina_HIv1___Sc0000008:2038372-2038801	Cluster_3070	N	144	203	73	34	22
Pocillopora_meandrina_HIv1___Sc0000008:2047846-2048274	Cluster_3071	N	95	14	43	68	17
Pocillopora_meandrina_HIv1___Sc0000008:2098378-2098857	Cluster_3072	N	1373	2267	1463	3365	4168
Pocillopora_meandrina_HIv1___Sc0000008:2099154-2099629	Cluster_3073	N	1837	3404	1762	2507	5036
Pocillopora_meandrina_HIv1___Sc0000008:2104385-2104865	Cluster_3074	N	157	321	197	371	501
Pocillopora_meandrina_HIv1___Sc0000008:2226362-2226785	Cluster_3075	N	35	58	5	87	37
Pocillopora_meandrina_HIv1___Sc0000008:2226881-2227306	Cluster_3076	N	65	51	27	62	57
Pocillopora_meandrina_HIv1___Sc0000008:2242788-2244155	Cluster_3077	N	992	348	560	1665	426
Pocillopora_meandrina_HIv1___Sc0000008:2244216-2244632	Cluster_3078	N	46	12	15	39	9
Pocillopora_meandrina_HIv1___Sc0000008:2257518-2258066	Cluster_3079	N	25	1	308	2	0
Pocillopora_meandrina_HIv1___Sc0000008:2284794-2285207	Cluster_3080	N	2	21	1	27	30
Pocillopora_meandrina_HIv1___Sc0000008:2292406-2292823	Cluster_3081	N	111	328	23	99	107
Pocillopora_meandrina_HIv1___Sc0000008:2517345-2517765	Cluster_3082	N	16	22	16	26	52
Pocillopora_meandrina_HIv1___Sc0000008:2593578-2594011	Cluster_3083	N	426	2	378	259	2
Pocillopora_meandrina_HIv1___Sc0000008:2645329-2645744	Cluster_3084	N	3	10	3	43	67
Pocillopora_meandrina_HIv1___Sc0000008:2699173-2699588	Cluster_3085	N	25	106	0	38	40
Pocillopora_meandrina_HIv1___Sc0000008:2703702-2704150	Cluster_3086	N	193	350	75	417	1
Pocillopora_meandrina_HIv1___Sc0000008:2818399-2818824	Cluster_3087	N	2	20	0	87	4
Pocillopora_meandrina_HIv1___Sc0000008:2892861-2893278	Cluster_3088	N	15	143	36	117	90
Pocillopora_meandrina_HIv1___Sc0000008:3044995-3045591	Cluster_3089	N	1224	537	1461	1196	1132
Pocillopora_meandrina_HIv1___Sc0000008:3152146-3152574	Cluster_3090	N	324	25	57	2	51
Pocillopora_meandrina_HIv1___Sc0000008:3153044-3153892	Cluster_3091	N	627	68	246	13	195
Pocillopora_meandrina_HIv1___Sc0000008:3154288-3155160	Cluster_3092	N	519	76	166	12	131
Pocillopora_meandrina_HIv1___Sc0000008:3155589-3156025	Cluster_3093	N	496	56	247	8	57
Pocillopora_meandrina_HIv1___Sc0000008:3175109-3175522	Cluster_3094	N	40	18	16	2	14
Pocillopora_meandrina_HIv1___Sc0000008:3489845-3490272	Cluster_3095	N	74	19	10	34	19
Pocillopora_meandrina_HIv1___Sc0000008:3576420-3576514	Cluster_3096	Y	84	78	41	69	29
Pocillopora_meandrina_HIv1___Sc0000008:3603048-3603467	Cluster_3097	N	38	148	7	0	61
Pocillopora_meandrina_HIv1___Sc0000008:3619341-3619435	Cluster_3098	Y	151	84	103	85	49
Pocillopora_meandrina_HIv1___Sc0000008:3682573-3683023	Cluster_3099	N	124	135	119	193	63
Pocillopora_meandrina_HIv1___Sc0000008:3792737-3793150	Cluster_3100	N	27	95	36	67	162
Pocillopora_meandrina_HIv1___Sc0000008:3806432-3807174	Cluster_3101	N	110	154	139	242	481
Pocillopora_meandrina_HIv1___Sc0000008:3945942-3946359	Cluster_3102	N	84	7	35	65	14
Pocillopora_meandrina_HIv1___Sc0000008:3947424-3947852	Cluster_3103	N	78	25	12	236	18
Pocillopora_meandrina_HIv1___Sc0000008:3948492-3949248	Cluster_3104	N	195	38	61	148	54
Pocillopora_meandrina_HIv1___Sc0000008:3949632-3950045	Cluster_3105	N	101	30	36	37	22
Pocillopora_meandrina_HIv1___Sc0000008:3950885-3951344	Cluster_3106	N	362	104	55	233	9
Pocillopora_meandrina_HIv1___Sc0000008:3961410-3963407	Cluster_3107	N	789	458	1126	1013	504
Pocillopora_meandrina_HIv1___Sc0000008:3963414-3964385	Cluster_3108	N	178	68	111	187	26
Pocillopora_meandrina_HIv1___Sc0000008:3964401-3964832	Cluster_3109	N	92	16	73	296	20
Pocillopora_meandrina_HIv1___Sc0000008:3965118-3966291	Cluster_3110	N	218	69	140	385	52
Pocillopora_meandrina_HIv1___Sc0000008:3980226-3980655	Cluster_3111	N	920	450	1380	831	663
Pocillopora_meandrina_HIv1___Sc0000008:4396995-4397415	Cluster_3112	N	8	48	30	34	4
Pocillopora_meandrina_HIv1___Sc0000008:4433244-4433661	Cluster_3113	N	18	9	36	19	14
Pocillopora_meandrina_HIv1___Sc0000008:4541060-4541481	Cluster_3114	N	18	33	12	18	104
Pocillopora_meandrina_HIv1___Sc0000008:4701279-4701707	Cluster_3115	N	0	0	141	1	1
Pocillopora_meandrina_HIv1___Sc0000008:4946465-4946893	Cluster_3116	N	0	0	230	0	0
Pocillopora_meandrina_HIv1___Sc0000008:5387738-5387830	Cluster_3117	Y	612	227	339	242	95
Pocillopora_meandrina_HIv1___Sc0000008:5481836-5482255	Cluster_3118	N	72	239	125	126	815
Pocillopora_meandrina_HIv1___Sc0000008:5492891-5493311	Cluster_3119	N	15	243	93	0	1
Pocillopora_meandrina_HIv1___Sc0000008:5501737-5502153	Cluster_3120	N	0	42	0	5	2789
Pocillopora_meandrina_HIv1___Sc0000008:5589028-5589448	Cluster_3121	N	0	1	82	1	45
Pocillopora_meandrina_HIv1___Sc0000008:5816867-5817285	Cluster_3122	N	58	10	5	7	52
Pocillopora_meandrina_HIv1___Sc0000008:5996763-5997177	Cluster_3123	N	1	0	11	631	188
Pocillopora_meandrina_HIv1___Sc0000008:5997969-5998385	Cluster_3124	N	29	0	47	0	0
Pocillopora_meandrina_HIv1___Sc0000008:6100492-6100916	Cluster_3125	N	0	0	244	93	82
Pocillopora_meandrina_HIv1___Sc0000008:6124721-6125148	Cluster_3126	N	24	76	0	339	6
Pocillopora_meandrina_HIv1___Sc0000008:6125281-6125771	Cluster_3127	N	71	16	64	32	4
Pocillopora_meandrina_HIv1___Sc0000008:6180844-6181258	Cluster_3128	N	10	33	21	10	62
Pocillopora_meandrina_HIv1___Sc0000008:6307431-6308672	Cluster_3129	N	976	851	7063	2327	45
Pocillopora_meandrina_HIv1___Sc0000008:6310919-6311346	Cluster_3130	N	105	35	34	93	11
Pocillopora_meandrina_HIv1___Sc0000008:6312576-6313277	Cluster_3131	N	126	56	60	40	17
Pocillopora_meandrina_HIv1___Sc0000008:6470302-6470717	Cluster_3132	N	13	78	11	40	68
Pocillopora_meandrina_HIv1___Sc0000008:6495344-6495776	Cluster_3133	N	21	60	1	35	408
Pocillopora_meandrina_HIv1___Sc0000008:6512824-6513235	Cluster_3134	N	19	77	6	47	71
Pocillopora_meandrina_HIv1___Sc0000008:6516001-6516465	Cluster_3135	N	13	68	9	64	47
Pocillopora_meandrina_HIv1___Sc0000008:6516959-6517531	Cluster_3136	N	33	136	15	139	269
Pocillopora_meandrina_HIv1___Sc0000008:6523070-6523803	Cluster_3137	N	54	287	19	247	320
Pocillopora_meandrina_HIv1___Sc0000008:6645153-6645568	Cluster_3138	N	0	98	790	73	2
Pocillopora_meandrina_HIv1___Sc0000008:6783256-6783685	Cluster_3139	N	29	76	37	98	8
Pocillopora_meandrina_HIv1___Sc0000008:6870035-6870463	Cluster_3140	N	67	5	55	87	13
Pocillopora_meandrina_HIv1___Sc0000008:6906017-6906501	Cluster_3141	N	768	315	942	11	2
Pocillopora_meandrina_HIv1___Sc0000008:6913071-6913566	Cluster_3142	N	662	93	207	87	19
Pocillopora_meandrina_HIv1___Sc0000008:6918899-6919327	Cluster_3143	N	0	1	104	0	1
Pocillopora_meandrina_HIv1___Sc0000008:7050066-7050481	Cluster_3144	N	60	11	10	2	24
Pocillopora_meandrina_HIv1___Sc0000008:7168458-7168875	Cluster_3145	N	55	42	58	51	18
Pocillopora_meandrina_HIv1___Sc0000008:7228615-7229032	Cluster_3146	N	14	0	15	8	84
Pocillopora_meandrina_HIv1___Sc0000008:7351455-7351902	Cluster_3147	N	257	0	0	5	3
Pocillopora_meandrina_HIv1___Sc0000008:7352806-7353233	Cluster_3148	N	19	16	110	9	22
Pocillopora_meandrina_HIv1___Sc0000008:7654139-7654555	Cluster_3149	N	51	17	48	22	21
Pocillopora_meandrina_HIv1___Sc0000008:7662276-7662690	Cluster_3150	N	10	31	38	14	26
Pocillopora_meandrina_HIv1___Sc0000008:7698373-7699671	Cluster_3151	N	2320	1576	1107	967	812
Pocillopora_meandrina_HIv1___Sc0000008:7722489-7722913	Cluster_3152	N	9	0	75	0	2
Pocillopora_meandrina_HIv1___Sc0000008:7924005-7924423	Cluster_3153	N	118	36	205	61	27
Pocillopora_meandrina_HIv1___Sc0000008:8271763-8272196	Cluster_3154	N	204	190	160	221	35
Pocillopora_meandrina_HIv1___Sc0000008:8294890-8295317	Cluster_3155	N	2	0	94	0	1
Pocillopora_meandrina_HIv1___Sc0000008:8299092-8299520	Cluster_3156	N	119	57	10	0	0
Pocillopora_meandrina_HIv1___Sc0000008:8324513-8324978	Cluster_3157	N	21	48	19	70	191
Pocillopora_meandrina_HIv1___Sc0000008:8326178-8326593	Cluster_3158	N	8	51	17	59	171
Pocillopora_meandrina_HIv1___Sc0000008:8327199-8327616	Cluster_3159	N	11	43	4	82	129
Pocillopora_meandrina_HIv1___Sc0000008:8393840-8394263	Cluster_3160	N	4	8	11	72	111
Pocillopora_meandrina_HIv1___Sc0000008:8428576-8428997	Cluster_3161	N	109	162	204	29	1
Pocillopora_meandrina_HIv1___Sc0000008:8460959-8461381	Cluster_3162	N	22	34	44	37	70
Pocillopora_meandrina_HIv1___Sc0000008:8497463-8497917	Cluster_3163	N	180	74	68	59	45
Pocillopora_meandrina_HIv1___Sc0000008:8585185-8585597	Cluster_3164	N	4	43	1	28	12
Pocillopora_meandrina_HIv1___Sc0000008:8601588-8602003	Cluster_3165	N	24	105	3	57	56
Pocillopora_meandrina_HIv1___Sc0000008:8602732-8603132	Cluster_3166	N	24	69	10	35	42
Pocillopora_meandrina_HIv1___Sc0000008:8604004-8604428	Cluster_3167	N	23	121	13	73	110
Pocillopora_meandrina_HIv1___Sc0000008:8635591-8636006	Cluster_3168	N	1	7	1	18	204
Pocillopora_meandrina_HIv1___Sc0000008:8801064-8801479	Cluster_3169	N	20	244	0	89	184
Pocillopora_meandrina_HIv1___Sc0000008:8907187-8907932	Cluster_3170	N	373	294	192	359	70
Pocillopora_meandrina_HIv1___Sc0000008:8928124-8928539	Cluster_3171	N	38	143	187	200	225
Pocillopora_meandrina_HIv1___Sc0000008:9150817-9151232	Cluster_3172	N	11	61	61	38	59
Pocillopora_meandrina_HIv1___Sc0000008:9290101-9290510	Cluster_3173	N	20	9	23	33	8
Pocillopora_meandrina_HIv1___Sc0000008:9303645-9304059	Cluster_3174	N	22	3	119	7	16
Pocillopora_meandrina_HIv1___Sc0000008:9406621-9407048	Cluster_3175	N	111	1	49	38	30
Pocillopora_meandrina_HIv1___Sc0000008:9467065-9467478	Cluster_3176	N	14	48	23	69	150
Pocillopora_meandrina_HIv1___Sc0000008:9469902-9470319	Cluster_3177	N	26	44	23	61	159
Pocillopora_meandrina_HIv1___Sc0000008:9479573-9479980	Cluster_3178	N	8	37	1	31	54
Pocillopora_meandrina_HIv1___Sc0000008:9498200-9498707	Cluster_3179	N	116	266	125	405	713
Pocillopora_meandrina_HIv1___Sc0000008:9610951-9611366	Cluster_3180	N	50	12	11	9	4
Pocillopora_meandrina_HIv1___Sc0000008:9701491-9701891	Cluster_3181	N	26	5	20	32	6
Pocillopora_meandrina_HIv1___Sc0000008:9732062-9732478	Cluster_3182	N	26	16	213	26	32
Pocillopora_meandrina_HIv1___Sc0000008:9778406-9778836	Cluster_3183	N	69	0	17	253	7
Pocillopora_meandrina_HIv1___Sc0000008:9845969-9846513	Cluster_3184	N	881	25	42	20	223
Pocillopora_meandrina_HIv1___Sc0000008:9851650-9852069	Cluster_3185	N	15	4	11	77	7
Pocillopora_meandrina_HIv1___Sc0000008:9981438-9982372	Cluster_3186	N	232	207	15	5	2
Pocillopora_meandrina_HIv1___Sc0000008:9982630-9983087	Cluster_3187	N	437	130	103	47	5
Pocillopora_meandrina_HIv1___Sc0000008:10004977-10005392	Cluster_3188	N	30	2	12	40	87
Pocillopora_meandrina_HIv1___Sc0000008:10037456-10037882	Cluster_3189	N	97	3	3	41	1
Pocillopora_meandrina_HIv1___Sc0000008:10038202-10038630	Cluster_3190	N	17	39	323	27	3
Pocillopora_meandrina_HIv1___Sc0000008:10175855-10176394	Cluster_3191	N	13	48	28	122	194
Pocillopora_meandrina_HIv1___Sc0000008:10220103-10220518	Cluster_3192	N	0	38	0	0	372
Pocillopora_meandrina_HIv1___Sc0000008:10274843-10275272	Cluster_3193	N	140	3	2	6	0
Pocillopora_meandrina_HIv1___Sc0000008:10367613-10368074	Cluster_3194	N	1624	1837	2742	6236	4634
Pocillopora_meandrina_HIv1___Sc0000008:10463744-10464158	Cluster_3195	N	1	37	0	6	38
Pocillopora_meandrina_HIv1___Sc0000008:10491245-10491671	Cluster_3196	N	158	3	10	1	1
Pocillopora_meandrina_HIv1___Sc0000008:10492738-10493162	Cluster_3197	N	5	5	1	51	35
Pocillopora_meandrina_HIv1___Sc0000008:10559700-10560127	Cluster_3198	N	104	50	27	8	1
Pocillopora_meandrina_HIv1___Sc0000008:10632661-10633081	Cluster_3199	N	157	87	56	76	14
Pocillopora_meandrina_HIv1___Sc0000008:10670925-10671345	Cluster_3200	N	112	3	21	14	4
Pocillopora_meandrina_HIv1___Sc0000008:10678356-10679047	Cluster_3201	N	167	402	235	696	1050
Pocillopora_meandrina_HIv1___Sc0000008:10818437-10818850	Cluster_3202	N	25	19	1	19	16
Pocillopora_meandrina_HIv1___Sc0000008:10871176-10871593	Cluster_3203	N	85	0	13	30	5
Pocillopora_meandrina_HIv1___Sc0000008:10962997-10963437	Cluster_3204	N	52	107	108	42	15
Pocillopora_meandrina_HIv1___Sc0000008:11053603-11054013	Cluster_3205	N	102	0	0	0	3
Pocillopora_meandrina_HIv1___Sc0000008:11058235-11058649	Cluster_3206	N	7	56	15	28	106
Pocillopora_meandrina_HIv1___Sc0000008:11083066-11083481	Cluster_3207	N	36	50	16	47	116
Pocillopora_meandrina_HIv1___Sc0000008:11124758-11125185	Cluster_3208	N	0	36	0	129	1
