# Program:featureCounts v2.1.1; Command:"featureCounts" "-p" "-a" "Apul_lncRNA_for_counts.gtf" "-t" "lncRNA" "-g" "gene_id" "-o" "Apul_lncRNA_counts_matrix.txt" "RNA-ACR-140-S1-TP2.bam" "RNA-ACR-145-S1-TP2.bam" "RNA-ACR-150-S1-TP2.bam" "RNA-ACR-173-S1-TP2.bam" "RNA-ACR-178-S1-TP2.bam" 
Geneid	Chr	Start	End	Strand	Length	RNA-ACR-140-S1-TP2.bam	RNA-ACR-145-S1-TP2.bam	RNA-ACR-150-S1-TP2.bam	RNA-ACR-173-S1-TP2.bam	RNA-ACR-178-S1-TP2.bam
lncRNA_9129	NC_058078.1	12840314	12840648	+	335	8	0	9	25	13
lncRNA_9130	NC_058078.1	12871557	12871775	+	219	7	3	18	0	0
lncRNA_9131	NC_058078.1	12881151	12881866	+	716	3	0	18	2	108
lncRNA_9132	NC_058078.1	13063574	13064188	+	615	57	19	18	46	47
lncRNA_9133	NC_058078.1	13114413	13114823	+	411	0	0	3	4	2
lncRNA_9134	NC_058078.1	13152870	13153274	+	405	18	6	46	1	126
lncRNA_9135	NC_058078.1	13155147	13155348	+	202	5	8	0	11	6
lncRNA_9136	NC_058078.1	13177486	13177687	+	202	16	1	0	2	0
lncRNA_9137	NC_058078.1	13191708	13193036	+	1329	13	3	16	23	50
lncRNA_9138	NC_058078.1	13223557	13223890	+	334	26	0	60	9	56
lncRNA_9139	NC_058078.1	13292995	13294271	+	1277	3	5	4	2	42
lncRNA_9140	NC_058078.1	13359823	13360030	+	208	0	0	0	0	16
lncRNA_9141	NC_058078.1	13361547	13362107	+	561	72	7	6	6	0
lncRNA_9142	NC_058078.1	13363512	13363926	+	415	13	173	61	13	39
lncRNA_9143	NC_058078.1	13366395	13366942	+	548	1	106	12	0	4
lncRNA_9144	NC_058078.1	13497423	13498768	+	1346	0	0	0	0	0
lncRNA_9145	NC_058078.1	13734181	13734992	+	812	7	4	6	0	64
lncRNA_9146	NC_058078.1	13743079	13743342	+	264	21	0	2	0	0
lncRNA_9147	NC_058078.1	13756690	13756971	+	282	11	9	22	5	13
lncRNA_9148	NC_058078.1	13775296	13775977	+	682	2	2	19	5	25
lncRNA_9149	NC_058078.1	13776301	13776595	+	295	2	0	1	12	19
lncRNA_9150	NC_058078.1	13816431	13816895	+	465	846	965	943	888	434
lncRNA_9151	NC_058078.1	13928637	13929039	+	403	0	0	0	0	25
lncRNA_9152	NC_058078.1	13956776	13957030	+	255	0	0	12	1	14
lncRNA_9153	NC_058078.1	13959928	13960174	+	247	6	3	21	4	3
lncRNA_9154	NC_058078.1	14181837	14182194	+	358	0	4	5	0	32
lncRNA_9155	NC_058078.1	14199974	14200300	+	327	21	0	26	0	7
lncRNA_9156	NC_058078.1	14480686	14481917	+	1232	0	32	50	2	8
lncRNA_9157	NC_058078.1	14584155	14584410	+	256	12	0	28	7	212
lncRNA_9158	NC_058078.1	14586544	14587641	+	1098	28	1	25	0	66
lncRNA_9159	NC_058078.1	14660111	14660414	+	304	1	0	0	80	0
lncRNA_9160	NC_058078.1	14906019	14906859	+	841	106	11	29	45	38
lncRNA_9161	NC_058078.1	14926392	14926680	+	289	9	0	48	1	15
lncRNA_9162	NC_058078.1	14948020	14948445	+	426	0	0	0	0	0
lncRNA_9163	NC_058078.1	14969981	14970202	+	222	0	6	0	0	24
lncRNA_9164	NC_058078.1	15026889	15027738	+	850	445	429	361	622	437
lncRNA_9165	NC_058078.1	15316801	15317114	+	314	5	10	3	23	9
lncRNA_9166	NC_058078.1	15476366	15476643	+	278	7	0	18	1	2
lncRNA_9167	NC_058078.1	15481297	15482362	+	1066	68	0	23	26	72
lncRNA_9168	NC_058078.1	15546899	15548436	+	1538	121	25	143	53	388
lncRNA_9169	NC_058078.1	15548978	15550191	+	1214	2121	2299	52	21	48
lncRNA_9170	NC_058078.1	15682306	15682770	+	465	17	1	71	34	464
lncRNA_9171	NC_058078.1	15684413	15684669	+	257	2	9	0	1	2
lncRNA_9172	NC_058078.1	15861230	15861786	+	557	7	9	4	78	3
lncRNA_9173	NC_058078.1	15864477	15864959	+	483	35	21	1	18	21
lncRNA_9174	NC_058078.1	15942619	15943982	+	1364	58	14	131	104	136
lncRNA_9175	NC_058078.1	15944403	15946068	+	1666	15	2	23	102	58
lncRNA_9176	NC_058078.1	15953026	15955087	+	2062	36	28	51	70	143
lncRNA_9177	NC_058078.1	16095030	16095598	+	569	2	30	0	7	47
lncRNA_9178	NC_058078.1	16138753	16139072	+	320	0	20	2	5	7
lncRNA_9179	NC_058078.1	16202368	16202887	+	520	0	0	39	0	20
lncRNA_9180	NC_058078.1	16243957	16244206	+	250	6	0	0	0	41
lncRNA_9181	NC_058078.1	16289384	16289661	+	278	9	0	8	0	2
lncRNA_9182	NC_058078.1	16289937	16290178	+	242	1	0	0	8	11
lncRNA_9183	NC_058078.1	16392197	16392690	+	494	20	3	47	32	57
lncRNA_9184	NC_058078.1	16404388	16405301	+	914	33	0	12	24	115
lncRNA_9185	NC_058078.1	16412235	16412560	+	326	22	7	0	11	0
lncRNA_9186	NC_058078.1	16639816	16640142	+	327	0	0	0	0	17
lncRNA_9187	NC_058078.1	16640394	16640705	+	312	28	6	24	11	22
lncRNA_9188	NC_058078.1	16726301	16727269	+	969	174	119	34	111	88
lncRNA_9189	NC_058078.1	16815710	16816418	+	709	70	20	13	2	30
lncRNA_9190	NC_058078.1	16840721	16841252	+	532	0	2	28	6	74
lncRNA_9191	NC_058078.1	16890911	16891174	+	264	0	23	0	25	12
lncRNA_9192	NC_058078.1	16907799	16908079	+	281	29	2	8	11	6
lncRNA_9193	NC_058078.1	16983081	16984104	+	1024	59	0	48	19	108
lncRNA_9194	NC_058078.1	16984748	16986366	+	1619	17	4	10	5	134
lncRNA_9195	NC_058078.1	16988466	16988737	+	272	10	0	12	0	2
lncRNA_9196	NC_058078.1	17052850	17053051	+	202	10	42	1	6	7
lncRNA_9197	NC_058078.1	17156988	17157189	+	202	7	8	12	19	52
lncRNA_9198	NC_058078.1	17157599	17158328	+	730	22	5	43	6	140
lncRNA_9199	NC_058078.1	17180050	17180377	+	328	8	5	0	16	6
lncRNA_9200	NC_058078.1	17293207	17293669	+	463	43	0	51	0	19
lncRNA_9201	NC_058078.1	17296338	17296738	+	401	0	0	1	0	45
lncRNA_9202	NC_058078.1	17330903	17331223	+	321	0	0	20	0	0
lncRNA_9203	NC_058078.1	17357542	17357756	+	215	1	0	0	0	28
lncRNA_9204	NC_058078.1	17458210	17458438	+	229	0	0	3	0	16
lncRNA_9205	NC_058078.1	17465818	17466085	+	268	4	0	0	0	26
lncRNA_9206	NC_058078.1	17472026	17472469	+	444	75	14	5	11	18
lncRNA_9207	NC_058078.1	17515858	17516215	+	358	57	3	0	12	2
lncRNA_9208	NC_058078.1	17545786	17546074	+	289	0	0	0	0	45
lncRNA_9209	NC_058078.1	17563885	17564089	+	205	48	11	6	2	15
lncRNA_9210	NC_058078.1	17583618	17583861	+	244	0	0	0	0	14
lncRNA_9211	NC_058078.1	17586321	17586739	+	419	0	0	0	81	0
lncRNA_9212	NC_058078.1	17596643	17596873	+	231	0	12	1	9	35
lncRNA_9213	NC_058078.1	17622781	17623119	+	339	18	1	5	34	40
lncRNA_9214	NC_058078.1	17630791	17631481	+	691	10	0	9	0	45
lncRNA_9215	NC_058078.1	17638949	17639332	+	384	0	0	0	2	40
lncRNA_9216	NC_058078.1	17743024	17743409	+	386	17	0	26	1	64
lncRNA_9217	NC_058078.1	17840175	17840789	+	615	24	0	22	0	84
lncRNA_9218	NC_058078.1	17849536	17849742	+	207	9	1	0	0	4
lncRNA_9219	NC_058078.1	17953711	17954074	+	364	0	0	4	0	23
lncRNA_9220	NC_058078.1	17963236	17963474	+	239	5	0	0	9	13
lncRNA_9221	NC_058078.1	17964358	17964908	+	551	56	9	29	0	47
lncRNA_9222	NC_058078.1	18027959	18028821	+	863	21	4	49	8	124
lncRNA_9223	NC_058078.1	18030082	18031602	+	1521	77	23	36	129	111
lncRNA_9224	NC_058078.1	18091510	18091784	+	275	3	1	0	38	0
lncRNA_9225	NC_058078.1	18093738	18094129	+	392	0	0	8	0	27
lncRNA_9226	NC_058078.1	18124304	18124712	+	409	22	1	11	29	3
lncRNA_9227	NC_058078.1	18267613	18267825	+	213	1	0	6	0	25
lncRNA_9228	NC_058078.1	18338642	18339032	+	391	2	0	9	19	33
lncRNA_9229	NC_058078.1	18433780	18434043	+	264	3	24	3	8	13
lncRNA_9230	NC_058078.1	18434619	18436079	+	1461	40	13	7	2	158
lncRNA_9231	NC_058078.1	18475282	18475538	+	257	0	4	14	0	8
lncRNA_9232	NC_058078.1	18630483	18632165	+	1683	13	0	19	9	109
lncRNA_9233	NC_058078.1	18764861	18765195	+	335	6	0	44	2	34
lncRNA_9234	NC_058078.1	18930966	18931416	+	451	11	0	8	0	58
lncRNA_9235	NC_058078.1	18958508	18959730	+	1223	1550	126	2	782	546
lncRNA_9236	NC_058078.1	19160741	19161110	+	370	0	18	3	10	16
lncRNA_9237	NC_058078.1	19280345	19281176	+	832	0	0	4	0	6
lncRNA_9238	NC_058078.1	19286528	19286762	+	235	0	3	10	0	1
lncRNA_9239	NC_058078.1	19290239	19290511	+	273	0	0	0	0	1
lncRNA_9240	NC_058078.1	19569615	19569930	+	316	19	30	4	13	10
lncRNA_9241	NC_058078.1	20089888	20090914	+	1027	10	212	94	3	4
lncRNA_9242	NC_058078.1	20204519	20205122	+	604	0	0	12	0	34
lncRNA_9243	NC_058078.1	20279052	20279318	+	267	16	1	13	0	23
lncRNA_9244	NC_058078.1	20283377	20283661	+	285	0	0	15	0	25
lncRNA_9245	NC_058078.1	20369094	20369941	+	848	17	2	28	6	143
lncRNA_9246	NC_058078.1	20595110	20595892	+	783	35	11	0	0	36
lncRNA_9247	NC_058078.1	20630065	20631012	+	948	4	5	10	0	177
lncRNA_9248	NC_058078.1	20631691	20631933	+	243	0	0	2	0	38
lncRNA_9249	NC_058078.1	20680817	20681062	+	246	2	14	2	1	6
lncRNA_9250	NC_058078.1	20798611	20798936	+	326	28	98	12	44	10
lncRNA_9251	NC_058078.1	20941237	20941645	+	409	0	0	0	3	20
lncRNA_9252	NC_058078.1	21022838	21023083	+	246	2	0	2	14	1
lncRNA_9253	NC_058078.1	21024638	21024998	+	361	9	1	23	27	55
lncRNA_9254	NC_058078.1	21100618	21100897	+	280	21	1	18	13	77
lncRNA_9255	NC_058078.1	21130107	21130669	+	563	30	12	73	9	53
lncRNA_9256	NC_058078.1	21132653	21134211	+	1559	55	4	136	60	310
lncRNA_9257	NC_058078.1	21197428	21197709	+	282	0	2	1	9	2
lncRNA_9258	NC_058078.1	21198139	21198527	+	389	100	13	24	94	48
lncRNA_9259	NC_058078.1	21385968	21387462	+	1495	242	187	176	485	498
lncRNA_9260	NC_058078.1	21422711	21423248	+	538	34	63	25	2	59
lncRNA_9261	NC_058078.1	21456865	21457131	+	267	4	2	1	0	13
lncRNA_9262	NC_058078.1	21458428	21458730	+	303	0	0	0	0	18
lncRNA_9263	NC_058078.1	21460506	21460899	+	394	0	4	29	0	1
lncRNA_9264	NC_058078.1	21485316	21485523	+	208	2	8	6	1	31
lncRNA_9265	NC_058078.1	21550346	21552360	+	2015	113	246	85	136	26
lncRNA_9266	NC_058078.1	21634668	21635733	+	1066	5	0	60	0	82
lncRNA_9267	NC_058078.1	21756682	21757551	+	870	37	0	35	16	227
lncRNA_9268	NC_058078.1	21758447	21758677	+	231	0	0	0	0	17
lncRNA_9269	NC_058078.1	21787695	21787969	+	275	18	6	0	0	0
lncRNA_9270	NC_058078.1	22100987	22101234	+	248	0	1	1	0	0
lncRNA_9271	NC_058078.1	22108079	22108280	+	202	2	0	1	3	7
lncRNA_9272	NC_058078.1	22247873	22248271	+	399	7	18	17	8	44
lncRNA_9273	NC_058078.1	22263243	22263582	+	340	0	0	0	27	0
lncRNA_9274	NC_058078.1	22268996	22269323	+	328	10	0	0	1	40
lncRNA_9275	NC_058079.1	21444	21946	+	503	0	0	0	0	0
lncRNA_9276	NC_058079.1	21444	21946	+	503	0	0	0	0	0
lncRNA_9277	NC_058079.1	396288	396685	+	398	11	10	1	6	19
lncRNA_9278	NC_058079.1	1930315	1931447	+	1133	0	0	0	0	0
lncRNA_9279	NC_058079.1	1930341	1931447	+	1107	0	0	0	0	0
lncRNA_9280	NC_058079.1	2500564	2504599	+	4036	20	0	12	4	19
lncRNA_9281	NC_058079.1	2501088	2505068	+	3981	0	1	7	12	0
lncRNA_9282	NC_058079.1	3662922	3663985	+	1064	27	30	4	13	1
lncRNA_9283	NC_058079.1	3770318	3770726	+	409	10	10	37	0	26
lncRNA_9284	NC_058079.1	4330764	4330997	+	234	18	4	3	4	18
lncRNA_9285	NC_058079.1	4813045	4814391	+	1347	0	0	0	0	0
lncRNA_9286	NC_058079.1	4813054	4814391	+	1338	0	0	0	0	0
lncRNA_9287	NC_058079.1	4813059	4814391	+	1333	0	0	0	0	0
lncRNA_9288	NC_058079.1	4820703	4821093	+	391	3	16	19	49	25
lncRNA_9289	NC_058079.1	5769251	5769525	+	275	0	0	19	0	3
lncRNA_9290	NC_058079.1	5769546	5770490	+	945	17	32	86	4	64
lncRNA_9291	NC_058079.1	6145814	6190947	+	45134	242	260	489	212	120
lncRNA_9292	NC_058079.1	6242225	6245681	+	3457	121	36	90	42	46
lncRNA_9293	NC_058079.1	6741106	6742123	+	1018	0	0	0	0	0
lncRNA_9294	NC_058079.1	6741106	6742123	+	1018	0	0	0	0	0
lncRNA_9295	NC_058079.1	6869008	6869766	+	759	72	26	7	88	144
lncRNA_9296	NC_058079.1	7027995	7028350	+	356	7	1533	6	1	1351
lncRNA_9297	NC_058079.1	7276163	7284943	+	8781	0	0	0	0	0
lncRNA_9298	NC_058079.1	7276179	7279849	+	3671	0	0	0	0	0
lncRNA_9299	NC_058079.1	7276185	7285746	+	9562	0	0	0	0	0
lncRNA_9300	NC_058079.1	7276585	7285746	+	9162	0	0	0	0	0
lncRNA_9301	NC_058079.1	7284407	7285746	+	1340	0	0	0	0	0
lncRNA_9302	NC_058079.1	7477267	7477673	+	407	114	0	0	0	149
lncRNA_9303	NC_058079.1	7477993	7478520	+	528	86	0	4	1	83
lncRNA_9304	NC_058079.1	7909828	7910705	+	878	0	1	0	3	5
lncRNA_9305	NC_058079.1	8712926	8715138	+	2213	21	35	15	22	66
lncRNA_9306	NC_058079.1	8745258	8748334	+	3077	1	1	0	0	0
lncRNA_9307	NC_058079.1	8746118	8748334	+	2217	0	0	0	0	0
lncRNA_9308	NC_058079.1	8916384	8918466	+	2083	176	2333	1250	2381	342
lncRNA_9309	NC_058079.1	9795536	9796219	+	684	56	19	26	36	75
lncRNA_9310	NC_058079.1	10499143	10499786	+	644	9	44	17	36	46
lncRNA_9311	NC_058079.1	10580921	10581619	+	699	98	54	19	66	116
lncRNA_9312	NC_058079.1	10784174	10785026	+	853	0	41	37	2	197
lncRNA_9313	NC_058079.1	10912825	10913054	+	230	29	0	0	0	15
lncRNA_9314	NC_058079.1	10919412	10919814	+	403	0	0	0	0	0
lncRNA_9315	NC_058079.1	10919418	10920155	+	738	0	16	0	0	0
lncRNA_9316	NC_058079.1	11056543	11057846	+	1304	16	4	7	10	1
lncRNA_9317	NC_058079.1	11381462	11382333	+	872	161	1	150	4	217
lncRNA_9318	NC_058079.1	11382107	11387167	+	5061	5	0	13	2	8
lncRNA_9319	NC_058079.1	11383145	11389005	+	5861	206	3	173	14	427
lncRNA_9320	NC_058079.1	11399230	11400973	+	1744	1	0	1	0	10
lncRNA_9321	NC_058079.1	11408104	11409647	+	1544	176	6	161	17	213
lncRNA_9322	NC_058079.1	11436811	11438424	+	1614	14	21	22	15	2
lncRNA_9323	NC_058079.1	11861956	11869244	+	7289	0	0	0	0	0
lncRNA_9324	NC_058079.1	11861956	11869244	+	7289	0	0	0	0	0
lncRNA_9325	NC_058079.1	11862074	11866972	+	4899	0	0	0	0	0
lncRNA_9326	NC_058079.1	12175100	12175862	+	763	31	17	44	46	80
lncRNA_9327	NC_058079.1	13088780	13095612	+	6833	0	0	0	0	3
lncRNA_9328	NC_058079.1	13088967	13095612	+	6646	0	0	0	0	0
lncRNA_9329	NC_058079.1	13120137	13120889	+	753	6	22	0	0	2
lncRNA_9330	NC_058079.1	13122427	13127408	+	4982	0	0	0	0	0
lncRNA_9331	NC_058079.1	13122427	13127408	+	4982	0	0	0	0	0
lncRNA_9332	NC_058079.1	13122428	13127408	+	4981	0	0	0	0	0
lncRNA_9333	NC_058079.1	13331436	13335595	+	4160	0	0	0	0	0
lncRNA_9334	NC_058079.1	13331510	13335595	+	4086	0	0	0	0	0
lncRNA_9335	NC_058079.1	14262834	14264518	+	1685	0	0	0	0	1
lncRNA_9336	NC_058079.1	14263314	14264518	+	1205	0	0	0	0	0
lncRNA_9337	NC_058079.1	14268244	14269028	+	785	24	12	3	13	3
lncRNA_9338	NC_058079.1	14728582	14729026	+	445	200	188	130	0	8
lncRNA_9339	NC_058079.1	16472251	16473727	+	1477	0	0	0	0	0
lncRNA_9340	NC_058079.1	16472251	16477152	+	4902	510	339	396	618	365
lncRNA_9341	NC_058079.1	16512093	16513682	+	1590	522	375	294	394	285
lncRNA_9342	NC_058079.1	17102418	17102866	+	449	0	0	0	0	0
lncRNA_9343	NC_058079.1	17102418	17102866	+	449	0	0	0	0	0
lncRNA_9344	NC_058079.1	17102509	17102866	+	358	0	0	0	0	0
lncRNA_9345	NC_058079.1	545907	558200	+	12294	183	15	89	31	566
lncRNA_9346	NC_058079.1	1122400	1123820	+	1421	192	330	128	250	64
lncRNA_9347	NC_058079.1	1291677	1291917	+	241	0	0	71	2	2
lncRNA_9348	NC_058079.1	1833524	1834807	+	1284	26	30	49	7	9
lncRNA_9349	NC_058079.1	4138046	4179001	+	40956	7392	3978	2316	4190	4274
lncRNA_9350	NC_058079.1	4586515	4586756	+	242	0	2	25	8	6
lncRNA_9351	NC_058079.1	6103132	6104464	+	1333	145	91	121	73	49
lncRNA_9352	NC_058079.1	6323393	6324383	+	991	194	40	319	0	499
lncRNA_9353	NC_058079.1	7085122	7086682	+	1561	0	0	0	0	0
lncRNA_9354	NC_058079.1	7085137	7086915	+	1779	0	0	0	0	0
lncRNA_9355	NC_058079.1	7085923	7087625	+	1703	0	0	0	0	0
lncRNA_9356	NC_058079.1	7086009	7086682	+	674	0	0	0	0	0
lncRNA_9357	NC_058079.1	7086010	7086682	+	673	0	0	0	0	0
lncRNA_9358	NC_058079.1	7086010	7087625	+	1616	0	0	0	0	0
lncRNA_9359	NC_058079.1	9142327	9144527	+	2201	5	13	19	5	1
lncRNA_9360	NC_058079.1	9330451	9331149	+	699	3	21	0	0	15
lncRNA_9361	NC_058079.1	10221274	10225785	+	4512	1845	2376	1732	3037	3448
lncRNA_9362	NC_058079.1	11033271	11036271	+	3001	31	46	28	166	45
lncRNA_9363	NC_058079.1	11106910	11112624	+	5715	439	77	43	70	194
lncRNA_9364	NC_058079.1	11216231	11216877	+	647	169	551	81	398	289
lncRNA_9365	NC_058079.1	11218929	11219226	+	298	7	0	0	0	2
lncRNA_9366	NC_058079.1	11383094	11386837	+	3744	0	0	0	0	0
lncRNA_9367	NC_058079.1	11394711	11399859	+	5149	176	8	366	19	1055
lncRNA_9368	NC_058079.1	11398963	11399859	+	897	0	0	0	0	0
lncRNA_9369	NC_058079.1	11414361	11417899	+	3539	63	0	22	0	125
lncRNA_9370	NC_058079.1	11680575	11681879	+	1305	0	0	0	0	0
lncRNA_9371	NC_058079.1	11680575	11681879	+	1305	0	0	0	0	0
lncRNA_9372	NC_058079.1	11717134	11717510	+	377	37	22	0	2	0
lncRNA_9373	NC_058079.1	11736398	11742051	+	5654	0	0	0	0	30
lncRNA_9374	NC_058079.1	11858811	11862142	+	3332	22	1	10	5	35
lncRNA_9375	NC_058079.1	11861777	11869051	+	7275	0	0	0	0	0
lncRNA_9376	NC_058079.1	11863991	11869051	+	5061	0	0	0	0	0
lncRNA_9377	NC_058079.1	11866425	11869051	+	2627	0	0	0	0	0
lncRNA_9378	NC_058079.1	11877224	11877580	+	357	0	0	0	15	3
lncRNA_9379	NC_058079.1	11886761	11888365	+	1605	6	2	13	0	12
lncRNA_9380	NC_058079.1	11887504	11888365	+	862	0	0	0	0	0
lncRNA_9381	NC_058079.1	12109293	12110041	+	749	3	94	81	0	232
lncRNA_9382	NC_058079.1	12143078	12144243	+	1166	0	0	0	0	0
lncRNA_9383	NC_058079.1	12143138	12144243	+	1106	0	0	0	0	0
lncRNA_9384	NC_058079.1	12143247	12144243	+	997	0	0	0	0	0
lncRNA_9385	NC_058079.1	12334374	12335038	+	665	1	0	2	11	11
lncRNA_9386	NC_058079.1	12608500	12613643	+	5144	0	0	0	0	0
lncRNA_9387	NC_058079.1	12608500	12614077	+	5578	0	0	0	38	12
lncRNA_9388	NC_058079.1	13148688	13149402	+	715	21	0	0	4	33
lncRNA_9389	NC_058079.1	13258212	13259066	+	855	4	52	0	0	61
lncRNA_9390	NC_058079.1	13331436	13335595	+	4160	0	0	0	0	0
lncRNA_9391	NC_058079.1	13333377	13335595	+	2219	0	0	0	0	0
lncRNA_9392	NC_058079.1	14518537	14520032	+	1496	0	9	16	43	10
lncRNA_9393	NC_058079.1	14707601	14707961	+	361	7	38	24	65	36
lncRNA_9394	NC_058079.1	14987954	14988448	+	495	0	0	2	0	63
lncRNA_9395	NC_058079.1	15783487	15784014	+	528	45	226	149	122	226
lncRNA_9396	NC_058079.1	16133291	16135248	+	1958	22479	34910	16342	22467	18636
lncRNA_9397	NC_058079.1	16666821	16668789	+	1969	83	16	73	97	89
lncRNA_9398	NC_058079.1	15520	15850	+	331	36	0	0	0	2
lncRNA_9399	NC_058079.1	239164	239474	+	311	0	0	0	0	12
lncRNA_9400	NC_058079.1	258191	259500	+	1310	8	8	10	3	71
lncRNA_9401	NC_058079.1	298612	298892	+	281	0	0	14	0	2
lncRNA_9402	NC_058079.1	300403	300746	+	344	0	0	0	0	23
lncRNA_9403	NC_058079.1	500967	501306	+	340	10	2	10	0	17
lncRNA_9404	NC_058079.1	539929	540483	+	555	23	5	2	32	59
lncRNA_9405	NC_058079.1	645905	646226	+	322	0	0	0	0	65
lncRNA_9406	NC_058079.1	903554	903850	+	297	3	0	0	0	18
lncRNA_9407	NC_058079.1	1021284	1022001	+	718	41	15	20	1	25
lncRNA_9408	NC_058079.1	1140627	1141156	+	530	10	0	11	0	66
lncRNA_9409	NC_058079.1	1275842	1276092	+	251	7	0	17	3	84
lncRNA_9410	NC_058079.1	1290290	1290619	+	330	0	2	17	6	0
lncRNA_9411	NC_058079.1	1352878	1353157	+	280	4	0	12	0	5
lncRNA_9412	NC_058079.1	1355323	1355782	+	460	16	28	3	14	7
lncRNA_9413	NC_058079.1	1357333	1358023	+	691	16	14	62	23	118
lncRNA_9414	NC_058079.1	1681906	1682165	+	260	37	2	9	3	25
lncRNA_9415	NC_058079.1	1807020	1807718	+	699	0	0	20	0	49
lncRNA_9416	NC_058079.1	1928738	1929784	+	1047	17	2	0	14	147
lncRNA_9417	NC_058079.1	1932334	1932553	+	220	0	3	14	0	5
lncRNA_9418	NC_058079.1	1934404	1935393	+	990	64	0	68	1	228
lncRNA_9419	NC_058079.1	1949436	1950089	+	654	4	0	4	10	56
lncRNA_9420	NC_058079.1	2089442	2089975	+	534	12	0	13	0	34
lncRNA_9421	NC_058079.1	2242281	2243445	+	1165	567	1607	422	594	787
lncRNA_9422	NC_058079.1	2341473	2341733	+	261	27	11	10	16	19
lncRNA_9423	NC_058079.1	2505795	2506016	+	222	0	0	0	22	0
lncRNA_9424	NC_058079.1	2567682	2567928	+	247	3	0	0	0	13
lncRNA_9425	NC_058079.1	3384368	3384958	+	591	6	0	19	11	1
lncRNA_9426	NC_058079.1	3385348	3385853	+	506	4	8	37	1	0
lncRNA_9427	NC_058079.1	3386440	3386780	+	341	14	6	22	2	31
lncRNA_9428	NC_058079.1	3534467	3534741	+	275	0	7	6	20	1
lncRNA_9429	NC_058079.1	3664669	3664959	+	291	0	19	21	10	16
lncRNA_9430	NC_058079.1	3726552	3726897	+	346	7	0	20	4	69
lncRNA_9431	NC_058079.1	3911077	3911619	+	543	0	5	23	2	45
lncRNA_9432	NC_058079.1	4027916	4029644	+	1729	2480	1579	1063	1496	1586
lncRNA_9433	NC_058079.1	4029903	4030168	+	266	1757	1148	306	752	577
lncRNA_9434	NC_058079.1	4031174	4032039	+	866	445	111	164	215	140
lncRNA_9435	NC_058079.1	4053734	4054883	+	1150	60	23	8	47	77
lncRNA_9436	NC_058079.1	4086415	4086909	+	495	0	0	1	6	96
lncRNA_9437	NC_058079.1	4092431	4093232	+	802	33	11	73	19	172
lncRNA_9438	NC_058079.1	4093524	4094503	+	980	24	0	77	2	266
lncRNA_9439	NC_058079.1	4124041	4124972	+	932	74	70	2	26	4
lncRNA_9440	NC_058079.1	4128267	4129055	+	789	11	3	26	6	238
lncRNA_9441	NC_058079.1	4337406	4337675	+	270	46	4	12	12	0
lncRNA_9442	NC_058079.1	4547735	4547940	+	206	0	3	3	11	6
lncRNA_9443	NC_058079.1	4576157	4576678	+	522	42	22	45	108	26
lncRNA_9444	NC_058079.1	4664590	4665056	+	467	0	0	17	0	24
lncRNA_9445	NC_058079.1	4670337	4670550	+	214	28	0	20	0	19
lncRNA_9446	NC_058079.1	4700426	4700672	+	247	17	0	0	0	4
lncRNA_9447	NC_058079.1	4703540	4705169	+	1630	18	0	6	30	90
lncRNA_9448	NC_058079.1	4706455	4707405	+	951	69	0	31	8	51
lncRNA_9449	NC_058079.1	4832845	4833481	+	637	0	8	0	8	2
lncRNA_9450	NC_058079.1	4834601	4835401	+	801	148	3	12	21	51
lncRNA_9451	NC_058079.1	4879221	4879585	+	365	6	417	1201	1	1761
lncRNA_9452	NC_058079.1	4986092	4986316	+	225	2	6	12	2	28
lncRNA_9453	NC_058079.1	5037819	5038247	+	429	1	2	34	4	187
lncRNA_9454	NC_058079.1	5038538	5039052	+	515	10	0	3	0	31
lncRNA_9455	NC_058079.1	5206893	5207485	+	593	13	0	0	8	34
lncRNA_9456	NC_058079.1	5266998	5267412	+	415	1	0	0	6	17
lncRNA_9457	NC_058079.1	5474154	5474992	+	839	20	0	77	7	59
lncRNA_9458	NC_058079.1	5507893	5508155	+	263	19	4	1	17	5
lncRNA_9459	NC_058079.1	5510525	5512316	+	1792	112	463	503	693	315
lncRNA_9460	NC_058079.1	5906655	5907179	+	525	34	0	28	2	77
lncRNA_9461	NC_058079.1	5925780	5926067	+	288	0	1	0	4	6
lncRNA_9462	NC_058079.1	6035024	6035377	+	354	51	13	0	5	17
lncRNA_9463	NC_058079.1	6037792	6038387	+	596	287	180	51	70	93
lncRNA_9464	NC_058079.1	6142599	6142871	+	273	16	23	1	19	33
lncRNA_9465	NC_058079.1	6179938	6180187	+	250	0	0	0	0	0
lncRNA_9466	NC_058079.1	6319619	6319962	+	344	36	0	93	0	37
lncRNA_9467	NC_058079.1	6434578	6434963	+	386	4	8	12	1	23
lncRNA_9468	NC_058079.1	6437573	6437960	+	388	13	4	11	6	14
lncRNA_9469	NC_058079.1	6498548	6498809	+	262	17	7	12	19	13
lncRNA_9470	NC_058079.1	6545216	6545504	+	289	0	0	28	0	10
lncRNA_9471	NC_058079.1	6563148	6563477	+	330	0	3	0	20	0
lncRNA_9472	NC_058079.1	6564916	6565117	+	202	7	5	29	2	14
lncRNA_9473	NC_058079.1	6957882	6958119	+	238	6	16	6	25	0
lncRNA_9474	NC_058079.1	7080515	7080831	+	317	1	0	34	5	1
lncRNA_9475	NC_058079.1	7089026	7089606	+	581	2	137	8	126	20
